state_code,district_code,district_name,population,households
1,1,Kupwara,870354,113929
1,1,Kupwara,765625,101930
1,1,Kupwara,104729,11999
1,2,Badgam,753745,103363
1,2,Badgam,655833,89417
1,2,Badgam,97912,13946
1,3,Leh(Ladakh),133487,21909
1,3,Leh(Ladakh),87816,14905
1,3,Leh(Ladakh),45671,7004
1,4,Kargil,140802,18338
1,4,Kargil,124464,16147
1,4,Kargil,16338,2191
1,5,Punch,476835,90261
1,5,Punch,438205,83045
1,5,Punch,38630,7216
1,6,Rajouri,642415,130401
1,6,Rajouri,590101,122645
1,6,Rajouri,52314,7756
1,7,Kathua,616435,119583
1,7,Kathua,526722,101651
1,7,Kathua,89713,17932
1,8,Baramula,1008039,152635
1,8,Baramula,825539,125346
1,8,Baramula,182500,27289
1,9,Bandipore,392232,58392
1,9,Bandipore,326871,48794
1,9,Bandipore,65361,9598
1,10,Srinagar,1236829,191678
1,10,Srinagar,17313,2844
1,10,Srinagar,1219516,188834
1,11,Ganderbal,297446,45361
1,11,Ganderbal,250407,38395
1,11,Ganderbal,47039,6966
1,12,Pulwama,560440,86241
1,12,Pulwama,479978,75587
1,12,Pulwama,80462,10654
1,13,Shupiyan,266215,44411
1,13,Shupiyan,249855,41858
1,13,Shupiyan,16360,2553
1,14,Anantnag,1078692,153640
1,14,Anantnag,795805,117648
1,14,Anantnag,282887,35992
1,15,Kulgam,424483,73728
1,15,Kulgam,343870,59922
1,15,Kulgam,80613,13806
1,16,Doda,409936,79636
1,16,Doda,377247,72917
1,16,Doda,32689,6719
1,17,Ramban,283713,55490
1,17,Ramban,271902,53328
1,17,Ramban,11811,2162
1,18,Kishtwar,230696,45209
1,18,Kishtwar,215831,42499
1,18,Kishtwar,14865,2710
1,19,Udhampur,554985,99240
1,19,Udhampur,446777,78887
1,19,Udhampur,108208,20353
1,20,Reasi,314667,56689
1,20,Reasi,287671,51659
1,20,Reasi,26996,5030
1,21,Jammu,1529958,314199
1,21,Jammu,764945,159291
1,21,Jammu,765013,154908
1,22,Samba,318898,65385
1,22,Samba,265283,54718
1,22,Samba,53615,10667
2,23,Chamba,519080,102460
2,23,Chamba,482972,94596
2,23,Chamba,36108,7864
2,24,Kangra,1510075,338887
2,24,Kangra,1423794,318379
2,24,Kangra,86281,20508
2,25,Lahul & Spiti,31564,6674
2,25,Lahul & Spiti,31564,6674
2,25,Lahul & Spiti,0,0
2,26,Kullu,437903,94807
2,26,Kullu,396512,84358
2,26,Kullu,41391,10449
2,27,Mandi,999777,219145
2,27,Mandi,937140,203747
2,27,Mandi,62637,15398
2,28,Hamirpur,454768,105519
2,28,Hamirpur,423338,98115
2,28,Hamirpur,31430,7404
2,29,Una,521173,110332
2,29,Una,476260,100502
2,29,Una,44913,9830
2,30,Bilaspur,381956,80485
2,30,Bilaspur,356827,74712
2,30,Bilaspur,25129,5773
2,31,Solan,580320,122425
2,31,Solan,478173,96510
2,31,Solan,102147,25915
2,32,Sirmaur,529855,98208
2,32,Sirmaur,472690,85087
2,32,Sirmaur,57165,13121
2,33,Shimla,814010,184362
2,33,Shimla,612659,129854
2,33,Shimla,201351,54508
2,34,Kinnaur,84121,19976
2,34,Kinnaur,84121,19976
2,34,Kinnaur,0,0
3,35,Gurdaspur,2298323,443666
3,35,Gurdaspur,1639004,312300
3,35,Gurdaspur,659319,131366
3,36,Kapurthala ,815168,167989
3,36,Kapurthala ,532706,107710
3,36,Kapurthala ,282462,60279
3,37,Jalandhar,2193590,461635
3,37,Jalandhar,1032419,213682
3,37,Jalandhar,1161171,247953
3,38,Hoshiarpur,1586625,336994
3,38,Hoshiarpur,1251656,264831
3,38,Hoshiarpur,334969,72163
3,39,Shahid Bhagat Singh Nagar ,612310,129500
3,39,Shahid Bhagat Singh Nagar ,486894,102766
3,39,Shahid Bhagat Singh Nagar ,125416,26734
3,40,Fatehgarh Sahib,600163,118100
3,40,Fatehgarh Sahib,414681,78997
3,40,Fatehgarh Sahib,185482,39103
3,41,Ludhiana,3498739,716826
3,41,Ludhiana,1429031,280796
3,41,Ludhiana,2069708,436030
3,42,Moga,995746,193256
3,42,Moga,768500,147298
3,42,Moga,227246,45958
3,43,Firozpur,2029074,385994
3,43,Firozpur,1476518,276967
3,43,Firozpur,552556,109027
3,44,Muktsar,901896,174360
3,44,Muktsar,649705,124124
3,44,Muktsar,252191,50236
3,45,Faridkot,617508,120893
3,45,Faridkot,400457,76728
3,45,Faridkot,217051,44165
3,46,Bathinda,1388525,273902
3,46,Bathinda,889308,171292
3,46,Bathinda,499217,102610
3,47,Mansa,769751,149630
3,47,Mansa,606147,117232
3,47,Mansa,163604,32398
3,48,Patiala,1895686,372293
3,48,Patiala,1132406,214257
3,48,Patiala,763280,158036
3,49,Amritsar ,2490656,488898
3,49,Amritsar ,1156045,214993
3,49,Amritsar ,1334611,273905
3,50,Tarn Taran,1119627,203421
3,50,Tarn Taran,977832,176669
3,50,Tarn Taran,141795,26752
3,51,Rupnagar,684627,135635
3,51,Rupnagar,506820,97827
3,51,Rupnagar,177807,37808
3,52,Sahibzada Ajit Singh Nagar,994628,205411
3,52,Sahibzada Ajit Singh Nagar,450017,85123
3,52,Sahibzada Ajit Singh Nagar,544611,120288
3,53,Sangrur,1655169,318870
3,53,Sangrur,1139204,217864
3,53,Sangrur,515965,101006
3,54,Barnala,595527,115798
3,54,Barnala,404842,76657
3,54,Barnala,190685,39141
4,55,Chandigarh,1055450,241173
4,55,Chandigarh,28991,7140
4,55,Chandigarh,1026459,234033
5,56,Uttarkashi,330086,67602
5,56,Uttarkashi,305781,61914
5,56,Uttarkashi,24305,5688
5,57,Chamoli,391605,88964
5,57,Chamoli,332209,74318
5,57,Chamoli,59396,14646
5,58,Rudraprayag,242285,53542
5,58,Rudraprayag,232360,50882
5,58,Rudraprayag,9925,2660
5,59,Tehri Garhwal,618931,132714
5,59,Tehri Garhwal,548792,115691
5,59,Tehri Garhwal,70139,17023
5,60,Dehradun,1696694,347001
5,60,Dehradun,754753,144112
5,60,Dehradun,941941,202889
5,61,Garhwal,687271,161778
5,61,Garhwal,574568,136180
5,61,Garhwal,112703,25598
5,62,Pithoragarh,483439,114730
5,62,Pithoragarh,413834,96971
5,62,Pithoragarh,69605,17759
5,63,Bageshwar,259898,58046
5,63,Bageshwar,250819,55992
5,63,Bageshwar,9079,2054
5,64,Almora,622506,140577
5,64,Almora,560192,125209
5,64,Almora,62314,15368
5,65,Champawat,259648,53953
5,65,Champawat,221305,45741
5,65,Champawat,38343,8212
5,66,Nainital,954605,191383
5,66,Nainital,582871,114954
