town_code,town_name,district_code,state_code
800001,Kupwara (MC),1,1
800002,Handwara (MC),1,1
800016,Magam (MC),2,1
800017,Beerwah (MC),2,1
800018,Khansahib (MC),2,1
800019,Badgam (MC),2,1
800020,Chadura (MC),2,1
800013,Srinagar (M Corp. + OG) (Part),2,1
800021,Charar-i-Sharief (MC),2,1
800047,Leh Ladakh (MC),3,1
800048,Kargil (MC),4,1
800062,Punch (M Cl),5,1
800063,Surankote (MC),5,1
800064,Thanamandi (MC),6,1
800065,Rajauri (MC),6,1
800066,Nowshehra (MC),6,1
800067,Sunderbani (MC),6,1
800081,Billawar (MC),7,1
800082,Bashohli (MC),7,1
800083,Lakhanpur (MC),7,1
800084,Kathua (M Cl + OG),7,1
800084,Kathua (M Cl),7,1
800085,Parole (MC),7,1
800086,Hiranagar (MC),7,1
800003,Sopore (M Cl + OG),8,1
800003,Sopore (M Cl),8,1
800004,Watra Gam (MC),8,1
800005,Pattan (MC),8,1
800006,Baramula (M Cl + OG),8,1
800006,Baramula (M Cl),8,1
800007,Uri (MC),8,1
800008,Kunzer (MC),8,1
800009,Gulmarg (MC),8,1
800010,Bandipore (MC),9,1
800011,Hajan (MC),9,1
800012,Sumbal (MC),9,1
800013,Srinagar (M Corp. + OG) (Part),10,1
800014,Badami Bagh (CB),10,1
800013,Srinagar (M Corp. + OG) (Part),10,1
800015,Ganderbal (MC),11,1
800022,Pampora (MC),12,1
800023,Khrew (MC),12,1
800024,Awantipora (MC),12,1
800025,Tral (MC),12,1
800026,Pulwama (MC),12,1
800027,Shupiyan (MC),13,1
800028,Pahalgam (MC),14,1
800029,Aishmuquam (MC),14,1
800030,Bijbehara (MC),14,1
800031,Arwani (MC),14,1
800032,Mattan (MC),14,1
800033,Anantnag (M Cl + OG) (Part),14,1
800034,Achhabal (MC),14,1
800035,Seer Hamdan (MC),14,1
800036,Shangus (MC),14,1
800037,Koker Nag (MC),14,1
800038,Qazi Gund (MC),14,1
800039,Duru Verinag (MC),14,1
800033,Anantnag (M Cl + OG) (Part),15,1
800040,Kulgam (MC),15,1
800041,Quimoh (MC),15,1
800042,Frisal (MC),15,1
800043,Yari Pora (MC),15,1
800044,Ashmuji Khalsa (MC),15,1
800045,Mehmood Pora (MC),15,1
800046,Devsar (MC),15,1
800049,Doda (MC),16,1
800050,Bhaderwah (MC),16,1
800051,Banihal (MC),17,1
800052,Ramban (MC),17,1
800053,Batote (MC),17,1
800054,Kishtwar (MC),18,1
800055,Udhampur (M Cl + OG),19,1
800055,Udhampur (M Cl),19,1
800056,Kud (MC),19,1
800057,Chenani (MC),19,1
800058,Ram Nagar (MC),19,1
800059,Reasi (MC),20,1
800060,Purana Daroorh (MC),20,1
800061,Katra (MC),20,1
800068,Jourian (MC),21,1
800069,Akhnoor (MC),21,1
800070,Khore (MC),21,1
800071,Jammu (M Corp. + OG),21,1
800071,Jammu (M Corp.),21,1
800072,Jammu Cantt. (CB),21,1
800073,Ghomanhasan (MC),21,1
0,Ranbir Singh Pora,21,1
800074,R.S. Pora (MC),21,1
