subdistrict_code;subdistrict_name;state_code;district_code;sub_district_nomenclature
1;Kupwara;1;1;Tahsil
2;Handwara;1;1;Tahsil
3;Karnah;1;1;Tahsil
4;Khag;1;2;Tahsil
5;Beerwah;1;2;Tahsil
6;Khansahib;1;2;Tahsil
7;Budgam;1;2;Tahsil
8;Chadoora;1;2;Tahsil
9;Charar- E- Shrief;1;2;Tahsil
10;Leh;1;3;Tahsil
11;Nubra;1;3;Tahsil
12;Khalsi;1;3;Tahsil
13;Kargil;1;4;Tahsil
14;Sanku;1;4;Tahsil
15;Zanskar;1;4;Tahsil
16;Haveli;1;5;Tahsil
17;Mandi;1;5;Tahsil
18;Mendhar;1;5;Tahsil
19;Surankote;1;5;Tahsil
20;Thanamandi;1;6;Tahsil
21;Darhal;1;6;Tahsil
22;Rajauri;1;6;Tahsil
23;Budhal;1;6;Tahsil
24;Kalakote;1;6;Tahsil
25;Nowshehra;1;6;Tahsil
26;Sunderbani;1;6;Tahsil
27;Billawar;1;7;Tahsil
28;Bashohli;1;7;Tahsil
29;Bani;1;7;Tahsil
30;Kathua;1;7;Tahsil
31;Hiranagar;1;7;Tahsil
32;Sopore;1;8;Tahsil
33;Rafiabad;1;8;Tahsil
34;Pattan;1;8;Tahsil
35;Baramulla;1;8;Tahsil
36;Kreeri;1;8;Tahsil
37;Uri;1;8;Tahsil
38;Boniyar;1;8;Tahsil
39;Tangmarg ;1;8;Tahsil
40;Gurez;1;9;Tahsil
41;Bandipora;1;9;Tahsil
42;Sonawari;1;9;Tahsil
43;Srinagar (North);1;10;Tahsil
44;Srinagar (South);1;10;Tahsil
45;Lar;1;11;Tahsil
46;Kangan;1;11;Tahsil
47;Ganderbal;1;11;Tahsil
48;Pampore;1;12;Tahsil
49;Awantipora;1;12;Tahsil
50;Tral;1;12;Tahsil
51;Pulwama;1;12;Tahsil
52;Shopian;1;13;Tahsil
53;Pahalgam;1;14;Tahsil
54;Bijbehara;1;14;Tahsil
55;Anantnag;1;14;Tahsil
56;Shangus;1;14;Tahsil
57;Kokernag;1;14;Tahsil
58;Dooru;1;14;Tahsil
59;Kulgam;1;15;Tahsil
60; Devsar;1;15;Tahsil
61;Damhal Hanjipora;1;15;Tahsil
62;Doda;1;16;Tahsil
63;Thathri;1;16;Tahsil
64;Gandoh;1;16;Tahsil
65;Bhaderwah;1;16;Tahsil
66;Banihal;1;17;Tahsil
67;Ramban;1;17;Tahsil
68;Kishtwar;1;18;Tahsil
69;Marwah;1;18;Tahsil
70;Chhatroo;1;18;Tahsil
71;Atholi (Paddar);1;18;Tahsil
72;Udhampur;1;19;Tahsil
73;Chenani;1;19;Tahsil
74;Ramnagar;1;19;Tahsil
75;Majalta;1;19;Tahsil
76;Gool-Gulabgarh;1;20;Tahsil
77;Reasi;1;20;Tahsil
78;Akhnoor;1;21;Tahsil
79;Jammu;1;21;Tahsil
80;Ranbir Singh Pora;1;21;Tahsil
81;Bishnah;1;21;Tahsil
82;Samba;1;22;Tahsil
83;Pangi;2;23;Tahsil
84;Chaurah;2;23;Tahsil
85;Saluni;2;23;Tahsil
86;Bhalai;2;23;Tahsil
87;Dalhousie;2;23;Tahsil
88;Bhattiyat;2;23;Tahsil
89;Sihunta;2;23;Tahsil
90;Chamba;2;23;Tahsil
91;Holi;2;23;Tahsil
92;Brahmaur;2;23;Tahsil
93;Nurpur;2;24;Tahsil
94;Indora;2;24;Tahsil
95;Fatehpur;2;24;Tahsil
96;Jawali;2;24;Tahsil
97;Harchakian;2;24;Tahsil
98;Shahpur;2;24;Tahsil
99;Dharmsala;2;24;Tahsil
100;Kangra;2;24;Tahsil
101;Nagrota Bagwan;2;24;Tahsil
102;Baroh;2;24;Tahsil
103;Dera Gopipur;2;24;Tahsil
104;Jawalamukhi;2;24;Tahsil
105;Jaswan;2;24;Tahsil
106;Rakkar;2;24;Tahsil
107;Khundian;2;24;Tahsil
108;Thural;2;24;Tahsil
109;Dhira;2;24;Tahsil
110;Jaisinghpur;2;24;Tahsil
111;Palampur;2;24;Tahsil
112;Baijnath;2;24;Tahsil
113;Multhan;2;24;Tahsil
114;Udaipur;2;25;Tahsil
115;Lahul;2;25;Tahsil
116;Spiti;2;25;Tahsil
117;Manali;2;26;Tahsil
118;Kullu;2;26;Tahsil
119;Sainj;2;26;Tahsil
120;Banjar;2;26;Tahsil
121;Ani;2;26;Tahsil
122;Nermand;2;26;Tahsil
123;Padhar;2;27;Tahsil
124;Jogindarnagar;2;27;Tahsil
125;Lad Bharol;2;27;Tahsil
126;Sandhol;2;27;Tahsil
127;Dharmpur;2;27;Tahsil
128;Kotli;2;27;Tahsil
129;Sarkaghat;2;27;Tahsil
130;Bhadrota;2;27;Tahsil
131;Baldwara;2;27;Tahsil
132;Sundarnagar;2;27;Tahsil
133;Mandi;2;27;Tahsil
134;Aut;2;27;Tahsil
135;Bali Chowki;2;27;Tahsil
136;Thunag;2;27;Tahsil
137;Chachyot;2;27;Tahsil
138;Nihri;2;27;Tahsil
139;Karsog;2;27;Tahsil
140;Tira Sujanpur;2;28;Tahsil
141;Nadaun;2;28;Tahsil
142;Galore;2;28;Tahsil
143;Hamirpur;2;28;Tahsil
144;Barsar;2;28;Tahsil
145;Dhatwal;2;28;Tahsil
146;Bhoranj;2;28;Tahsil
147;Bharwain;2;29;Tahsil
148;Amb;2;29;Tahsil
149;Bangana;2;29;Tahsil
150;Una;2;29;Tahsil
151;Haroli;2;29;Tahsil
152;Ghumarwin;2;30;Tahsil
153;Bharari;2;30;Tahsil
154;Jhanduta;2;30;Tahsil
155;Naina Devi;2;30;Tahsil
156;Bilaspur Sadar;2;30;Tahsil
157;Namhol;2;30;Tahsil
158;Arki;2;31;Tahsil
159;Darlaghat;2;31;Tahsil
160;Ramshahr;2;31;Tahsil
161;Nalagarh;2;31;Tahsil
162;Baddi;2;31;Tahsil
163;Krishangarh;2;31;Tahsil
164;Kasauli;2;31;Tahsil
165;Solan;2;31;Tahsil
166;Kandaghat;2;31;Tahsil
167;Rajgarh;2;32;Tahsil
168;Nohra;2;32;Tahsil
169;Pachhad;2;32;Tahsil
170;Renuka;2;32;Tahsil
171;Dadahu;2;32;Tahsil
172;Nahan;2;32;Tahsil
173;Paonta Sahib;2;32;Tahsil
174;Kamrau;2;32;Tahsil
175;Shalai;2;32;Tahsil
176;Ronhat;2;32;Tahsil
177;Rampur;2;33;Tahsil
178;Nankhari;2;33;Tahsil
179;Kumharsain;2;33;Tahsil
180;Seoni;2;33;Tahsil
181;Shimla   ( Rural );2;33;Tahsil
182;Shimla (urban);2;33;Tahsil
183;Junga;2;33;Tahsil
184;Theog;2;33;Tahsil
185;Chaupal;2;33;Tahsil
186;Cheta;2;33;Tahsil
187;Nerua;2;33;Tahsil
188;Jubbal;2;33;Tahsil
189;Kotkhai;2;33;Tahsil
190;Tikar;2;33;Tahsil
191;Rohru;2;33;Tahsil
192;Chirgaon;2;33;Tahsil
193;Dodra Kwar;2;33;Tahsil
194;Hangrang;2;34;Tahsil
195;Poo;2;34;Tahsil
196;Morang;2;34;Tahsil
197;Kalpa;2;34;Tahsil
198;Nichar;2;34;Tahsil
199;Sangla;2;34;Tahsil
200;Dhar Kalan;3;35;Tahsil
201;Pathankot       ;3;35;Tahsil
202;Gurdaspur ;3;35;Tahsil
203;Batala ;3;35;Tahsil
204;Dera Baba Nanak  ;3;35;Tahsil
205;Bhulath;3;36;Tahsil
