supply_level,resource_id,state_code,district_code,time,allocated_quantity
district,R12,8,102,1,139594.0
district,R15,8,102,1,510.0
district,R25,8,102,1,4079.0
district,R30,8,102,1,1360.0
district,R31,8,102,1,34.0
district,R32,8,102,1,41.0
district,R33,8,102,1,6.0
district,R36,8,102,1,22.0
district,R40,8,102,1,4894912.0
district,R42,8,102,1,209390.0
district,R44,8,102,1,34.0
district,R45,8,102,1,816.0
district,R51,8,102,1,2243502.0
district,R54,8,102,1,101978.0
district,R55,8,102,1,906.0
district,R56,8,102,1,1854.0
district,R12,8,104,1,255888.0
district,R15,8,104,1,918.0
district,R25,8,104,1,7348.0
district,R30,8,104,1,2450.0
district,R31,8,104,1,162.0
district,R32,8,104,1,74.0
district,R33,8,104,1,10.0
district,R36,8,104,1,53.0
district,R40,8,104,1,8818030.0
district,R42,8,104,1,383832.0
district,R44,8,104,1,61.0
district,R45,8,104,1,1470.0
district,R51,8,104,1,4041596.0
district,R54,8,104,1,183708.0
district,R55,8,104,1,1632.0
district,R56,8,104,1,3340.0
district,R12,8,109,1,117001.0
district,R15,8,109,1,408.0
district,R25,8,109,1,3269.0
district,R30,8,109,1,1090.0
district,R31,8,109,1,28.0
district,R32,8,109,1,32.0
district,R33,8,109,1,4.0
district,R36,8,109,1,18.0
district,R40,8,109,1,3922582.0
district,R42,8,109,1,175501.0
district,R44,8,109,1,28.0
district,R45,8,109,1,654.0
district,R51,8,109,1,1797850.0
district,R54,8,109,1,81720.0
district,R55,8,109,1,726.0
district,R56,8,109,1,1486.0
district,R12,8,112,1,231524.0
district,R15,8,112,1,827.0
district,R25,8,112,1,6616.0
district,R30,8,112,1,2205.0
district,R31,8,112,1,55.0
district,R32,8,112,1,66.0
district,R33,8,112,1,10.0
district,R36,8,112,1,37.0
district,R40,8,112,1,7938584.0
district,R42,8,112,1,347286.0
district,R44,8,112,1,55.0
district,R45,8,112,1,1323.0
district,R51,8,112,1,3638517.0
district,R54,8,112,1,165387.0
district,R55,8,112,1,1470.0
district,R56,8,112,1,3008.0
district,R12,9,158,1,247882.0
district,R15,9,158,1,851.0
district,R25,9,158,1,6812.0
district,R30,9,158,1,2271.0
district,R31,9,158,1,57.0
district,R32,9,158,1,68.0
district,R33,9,158,1,8.0
district,R40,9,158,1,8173342.0
district,R42,9,158,1,371824.0
district,R44,9,158,1,57.0
district,R45,9,158,1,1363.0
district,R51,9,158,1,3746114.0
district,R54,9,158,1,170278.0
district,R55,9,158,1,1513.0
district,R12,9,174,1,111141.0
district,R15,9,174,1,400.0
district,R25,9,174,1,3199.0
district,R30,9,174,1,1066.0
district,R31,9,174,1,26.0
district,R32,9,174,1,32.0
district,R33,9,174,1,4.0
district,R40,9,174,1,3839030.0
district,R42,9,174,1,166710.0
district,R44,9,174,1,26.0
district,R45,9,174,1,640.0
district,R51,9,174,1,1759556.0
district,R54,9,174,1,79979.0
district,R55,9,174,1,711.0
district,R12,9,183,1,216499.0
district,R15,9,183,1,858.0
district,R25,9,183,1,6868.0
district,R30,9,183,1,2290.0
district,R31,9,183,1,58.0
district,R32,9,183,1,68.0
district,R33,9,183,1,8.0
district,R40,9,183,1,8241406.0
district,R42,9,183,1,324748.0
district,R44,9,183,1,58.0
district,R45,9,183,1,1374.0
district,R51,9,183,1,3777311.0
district,R54,9,183,1,171696.0
district,R55,9,183,1,1526.0
district,R12,1,21,1,125680.0
district,R15,1,21,1,383.0
district,R25,1,21,1,3060.0
district,R30,1,21,1,1020.0
district,R31,1,21,1,25.0
district,R32,1,21,1,31.0
district,R33,1,21,1,4.0
district,R36,1,21,1,16.0
district,R40,1,21,1,3671900.0
district,R42,1,21,1,188519.0
district,R44,1,21,1,25.0
district,R45,1,21,1,612.0
district,R51,1,21,1,1682954.0
district,R54,1,21,1,380564.0
district,R55,1,21,1,680.0
district,R56,1,21,1,1391.0
district,R44,10,228,1,10.0
district,R12,2,25,1,2670.0
district,R15,2,25,1,8.0
district,R25,2,25,1,64.0
district,R30,2,25,1,22.0
district,R36,2,25,1,56.0
district,R40,2,25,1,75754.0
district,R42,2,25,1,4004.0
district,R45,2,25,1,12.0
district,R51,2,25,1,34720.0
district,R54,2,25,1,1578.0
district,R55,2,25,1,14.0
district,R56,2,25,1,28.0
district,R12,14,278,1,36850.0
district,R15,14,278,1,114.0
district,R25,14,278,1,6240.0
district,R30,14,278,1,1140.0
district,R31,14,278,1,8.0
district,R32,14,278,1,10.0
district,R33,14,278,1,1.0
district,R36,14,278,1,6.0
district,R40,14,278,1,1094671.0
district,R42,14,278,1,55274.0
district,R44,14,278,1,8.0
district,R45,14,278,1,183.0
district,R51,14,278,1,501724.0
district,R54,14,278,1,22806.0
district,R55,14,278,1,203.0
district,R56,14,278,1,414.0
district,R12,15,283,1,33010.0
district,R15,15,283,1,100.0
district,R25,15,283,1,801.0
district,R30,15,283,1,1967.0
district,R31,15,283,1,7.0
district,R32,15,283,1,8.0
district,R33,15,283,1,1.0
district,R36,15,283,1,4.0
district,R40,15,283,1,960742.0
district,R42,15,283,1,49514.0
district,R44,15,283,1,7.0
district,R45,15,283,1,160.0
district,R51,15,283,1,440340.0
district,R54,15,283,1,20016.0
district,R55,15,283,1,178.0
district,R56,15,283,1,364.0
district,R12,18,322,1,117245.0
district,R15,18,322,1,314.0
district,R25,18,322,1,2508.0
district,R33,18,322,1,3.0
district,R36,18,322,1,14.0
district,R42,18,322,1,175867.0
district,R44,18,322,1,21.0
district,R45,18,322,1,501.0
district,R51,18,322,1,1379332.0
district,R54,18,322,1,62696.0
district,R55,18,322,1,557.0
district,R56,18,322,1,1719.0
district,R12,2,33,1,73745.0
district,R15,2,33,1,204.0
district,R25,2,33,1,1628.0
district,R30,2,33,1,542.0
district,R31,2,33,1,14.0
district,R32,2,33,1,28.0
district,R33,2,33,1,2.0
district,R36,2,33,1,9.0
district,R40,2,33,1,1953624.0
district,R42,2,33,1,110617.0
district,R44,2,33,1,14.0
district,R45,2,33,1,326.0
district,R51,2,33,1,895411.0
district,R54,2,33,1,40700.0
district,R55,2,33,1,362.0
district,R56,2,33,1,740.0
district,R12,20,357,1,190772.0
district,R15,20,357,1,573.0
district,R25,20,357,1,4588.0
district,R30,20,357,1,1530.0
district,R31,20,357,1,38.0
district,R32,20,357,1,46.0
district,R33,20,357,1,24.0
district,R36,20,357,1,26.0
district,R40,20,357,1,5505406.0
district,R42,20,357,1,286158.0
district,R44,20,357,1,38.0
district,R45,20,357,1,918.0
district,R51,20,357,1,2523310.0
district,R54,20,357,1,114696.0
district,R55,20,357,1,1020.0
district,R56,20,357,1,2085.0
district,R12,20,360,1,121900.0
district,R15,20,360,1,433.0
district,R25,20,360,1,3468.0
district,R30,20,360,1,1156.0
district,R31,20,360,1,28.0
district,R32,20,360,1,35.0
district,R33,20,360,1,4.0
district,R36,20,360,1,28.0
district,R40,20,360,1,4162788.0
district,R42,20,360,1,182849.0
district,R44,20,360,1,28.0
district,R45,20,360,1,3126.0
district,R51,20,360,1,1907944.0
district,R54,20,360,1,86725.0
district,R55,20,360,1,770.0
district,R56,20,360,1,1576.0
district,R12,21,379,1,128774.0
district,R15,21,379,1,360.0
district,R25,21,379,1,2881.0
district,R30,21,379,1,960.0
district,R31,21,379,1,55.0
district,R32,21,379,1,29.0
district,R33,21,379,1,4.0
district,R36,21,379,1,16.0
district,R40,21,379,1,3456866.0
district,R42,21,379,1,193160.0
district,R44,21,379,1,24.0
district,R45,21,379,1,576.0
district,R51,21,379,1,1584398.0
district,R54,21,379,1,72018.0
district,R55,21,379,1,641.0
district,R56,21,379,1,1310.0
district,R12,21,383,1,111746.0
district,R15,21,383,1,298.0
district,R25,21,383,1,2386.0
district,R30,21,383,1,795.0
district,R31,21,383,1,20.0
district,R32,21,383,1,24.0
district,R33,21,383,1,2.0
district,R36,21,383,1,14.0
district,R40,21,383,1,2862746.0
district,R42,21,383,1,167618.0
district,R44,21,383,1,20.0
district,R45,21,383,1,478.0
district,R51,21,383,1,1312092.0
district,R54,21,383,1,59641.0
district,R55,21,383,1,530.0
district,R56,21,383,1,1084.0
district,R12,3,40,1,47240.0
district,R15,3,40,1,150.0
district,R25,3,40,1,1200.0
district,R30,3,40,1,400.0
district,R31,3,40,1,10.0
district,R32,3,40,1,12.0
district,R33,3,40,1,2.0
district,R36,3,40,1,6.0
district,R40,3,40,1,1440391.0
district,R42,3,40,1,70860.0
district,R44,3,40,1,10.0
district,R45,3,40,1,240.0
district,R51,3,40,1,660180.0
district,R54,3,40,1,30008.0
district,R55,3,40,1,266.0
district,R56,3,40,1,545.0
district,R12,22,406,1,240328.0
district,R15,22,406,1,153.62
