from_district,to_district,resource_id,time,quantity,status
596,5,R12,1,111925.0,planned
228,432,R12,1,40280.0,planned
492,432,R12,1,533280.0,planned
406,538,R15,1,512.38,planned
228,63,R15,1,160.0,planned
492,587,R15,1,1520.0,planned
406,278,R25,1,5328.0,planned
228,533,R25,1,1272.0,planned
538,50,R30,1,2702.0,planned
406,564,R30,1,1776.0,planned
322,278,R30,1,836.0,planned
533,283,R30,1,1700.0,planned
228,564,R30,1,424.0,planned
322,379,R31,1,21.0,planned
228,379,R31,1,10.0,planned
492,104,R31,1,101.0,planned
322,605,R32,1,25.0,planned
228,33,R32,1,12.0,planned
596,357,R33,1,2.0,planned
228,112,R33,1,2.0,planned
492,357,R33,1,16.0,planned
158,73,R36,1,38.0,planned
174,25,R36,1,18.0,planned
406,430,R36,1,30.0,planned
183,25,R36,1,38.0,planned
596,104,R36,1,12.0,planned
228,360,R36,1,8.0,planned
322,83,R40,1,3009451.0,planned
228,5,R40,1,1527220.0,planned
228,564,R42,1,60421.0,planned
538,69,R45,1,1622.0,planned
533,564,R45,1,1021.0,planned
228,69,R45,1,254.0,planned
492,360,R45,1,2432.0,planned
228,8,R51,1,699976.0,planned
228,83,R54,1,31818.0,planned
492,21,R54,1,304066.0,planned
228,84,R55,1,282.0,planned
492,500,R55,1,1345.58,planned
158,8,R56,1,3096.0,planned
174,5,R56,1,1455.0,planned
183,436,R56,1,3122.0,planned
228,322,R56,1,579.0,planned
492,8,R56,1,3379.77,planned
STATE::8,102,R12,1,3348758.0,planned
STATE::8,102,R25,1,65747.43,planned
STATE::8,102,R32,1,334.22,planned
STATE::8,102,R40,1,197419500.0,planned
STATE::8,102,R42,1,9152027.0,planned
STATE::8,102,R44,1,966.72,planned
STATE::8,102,R45,1,16242.67,planned
STATE::8,102,R56,1,37117.48,planned
STATE::8,104,R30,1,22362.0,planned
STATE::8,104,R33,1,163.62,planned
STATE::8,104,R36,1,239.27,planned
STATE::8,104,R44,1,407.28,planned
STATE::8,104,R45,1,16668.33,planned
STATE::8,104,R51,1,51624007.0,planned
STATE::8,104,R54,1,4112904.0,planned
STATE::8,104,R55,1,36554.0,planned
STATE::8,109,R15,1,6816.21,planned
STATE::8,109,R25,1,98771.57,planned
STATE::8,109,R30,1,32477.0,planned
STATE::8,109,R31,1,1374.0,planned
STATE::8,109,R33,1,40.38,planned
STATE::8,109,R36,1,670.73,planned
