resource_id,district_code,time,unmet_quantity
R15,102,1,20338.89
R25,102,1,36759.24
R30,102,1,72372.14
R31,102,1,1283.48
R32,102,1,676.54
R33,102,1,183.76
R40,102,1,89701873.0
R42,102,1,222811.91
R51,102,1,90571541.0
R54,102,1,5384850.0
R55,102,1,13791.84
R15,104,1,23155.8
R25,104,1,71031.16
R31,104,1,561.51
R32,104,1,1018.08
R36,104,1,191.98
R40,104,1,90367219.0
R42,104,1,13131296.0
R51,104,1,44583539.0
R55,104,1,8179.64
R56,104,1,91785.78
R32,109,1,2244.85
R33,109,1,53.7
R40,109,1,73063384.0
R44,109,1,1366.91
R45,109,1,22397.96
R54,109,1,2740795.1
R55,109,1,28242.06
R56,109,1,56779.14
R12,112,1,4942278.3
R25,112,1,85506.44
R30,112,1,29796.99
R31,112,1,1651.25
R42,112,1,10910460.0
R44,112,1,1394.97
R45,112,1,40723.01
R51,112,1,73800711.0
R54,112,1,2846878.2
R55,112,1,37904.09
R56,112,1,94906.41
R12,174,1,3163489.5
R25,174,1,47706.1
R30,174,1,8091.01
R31,174,1,827.92
R33,174,1,265.65
R40,174,1,36198112.0
R42,174,1,5420540.3
R51,174,1,44998975.0
R54,174,1,1716366.9
R55,174,1,19382.29
R15,183,1,1053.91
R25,183,1,111215.99
R30,183,1,72471.56
R40,183,1,100742330.0
R42,183,1,8868128.6
R44,183,1,137.1
R45,183,1,43617.76
R12,21,1,5920111.7
R15,21,1,3062.21
R25,21,1,65217.7
R30,21,1,27723.5
R32,21,1,953.99
R33,21,1,136.31
R36,21,1,267.28
R40,21,1,191441930.0
R42,21,1,11197560.0
R44,21,1,1472.96
R55,21,1,3830.67
R44,228,1,171.52
R12,25,1,7490628.7
R15,25,1,7890.69
R30,25,1,36943.57
R31,25,1,829.85
R32,25,1,666.0
R33,25,1,96.85
R40,25,1,189674640.0
R42,25,1,7196553.4
R44,25,1,902.82
R45,25,1,17100.71
R51,25,1,103372860.0
R55,25,1,12238.04
R12,278,1,2721501.8
R15,278,1,15170.43
R25,278,1,44056.56
R30,278,1,58566.24
R31,278,1,604.65
R32,278,1,685.85
R33,278,1,115.92
R40,278,1,201039950.0
R44,278,1,575.6
R45,278,1,24829.19
R51,278,1,33592624.0
R54,278,1,2937410.0
R55,278,1,15807.04
R56,278,1,55099.38
R12,283,1,2536573.8
R15,283,1,8794.84
R25,283,1,45062.56
R30,283,1,60231.9
R31,283,1,1521.16
R32,283,1,1163.82
R33,283,1,191.5
R36,283,1,986.09
R42,283,1,10509540.0
R44,283,1,1361.05
R45,283,1,10037.95
R54,283,1,1347473.5
R55,283,1,41209.13
R56,283,1,69880.12
R12,322,1,4248304.3
R15,322,1,8449.74
R25,322,1,89945.7
R33,322,1,149.7
R36,322,1,660.36
R44,322,1,167.96
R45,322,1,21381.95
R51,322,1,42790064.0
R54,322,1,2777293.8
R55,322,1,8593.06
R12,33,1,5841206.9
R15,33,1,10042.59
R25,33,1,82849.53
R30,33,1,61351.55
R31,33,1,834.89
R32,33,1,1826.39
R33,33,1,94.02
R36,33,1,172.08
R42,33,1,2434099.7
R44,33,1,324.67
R45,33,1,18309.47
R51,33,1,39997512.0
R54,33,1,4645276.1
R56,33,1,11953.71
R12,357,1,4484953.0
R15,357,1,15617.21
R25,357,1,211660.03
R30,357,1,34578.27
R31,357,1,793.06
R33,357,1,191.03
R36,357,1,997.77
R40,357,1,76351451.0
R44,357,1,1326.94
