district_code,resource_id,quantity
1,R1,2611062
1,R2,913872
1,R3,783319
1,R4,208885
1,R5,13055310
1,R6,39165930
1,R7,5222124
1,R8,10254
1,R9,13671
1,R10,1000907
1,R11,826836
1,R12,22786
1,R13,11393
1,R14,870
1,R15,109
1,R16,348
1,R17,26111
1,R18,34814
1,R19,217588
1,R20,17407
1,R21,580
1,R22,218
1,R23,696
1,R24,305
1,R25,870
1,R26,70
1,R27,3
1,R28,2
1,R29,174
1,R30,290
1,R31,7
1,R32,9
1,R33,1
1,R34,87
1,R35,3
1,R36,5
1,R37,0
1,R38,1
1,R39,1740708
1,R40,1044425
1,R41,1139
1,R42,34179
1,R43,652766
1,R44,7
1,R45,174
1,R46,2
1,R47,290
1,R48,17407
1,R49,13671
1,R50,1566637
1,R51,478695
1,R52,174071
1,R53,5
1,R54,21759
1,R55,193
1,R56,396
1,R1,2296875
1,R2,803906
1,R3,689062
1,R4,183750
1,R5,11484375
1,R6,34453125
1,R7,4593750
1,R8,9174
1,R9,12232
1,R10,880469
1,R11,727344
1,R12,20386
1,R13,10193
1,R14,766
1,R15,96
1,R16,306
1,R17,22969
1,R18,30625
1,R19,191406
1,R20,15312
1,R21,510
1,R22,191
1,R23,612
1,R24,268
1,R25,766
1,R26,61
1,R27,3
1,R28,2
1,R29,153
1,R30,255
1,R31,6
1,R32,8
1,R33,1
1,R34,77
1,R35,3
1,R36,4
1,R37,0
1,R38,1
1,R39,1531250
1,R40,918750
1,R41,1019
1,R42,30579
1,R43,574219
1,R44,6
1,R45,153
1,R46,2
1,R47,255
1,R48,15312
1,R49,12232
1,R50,1378125
1,R51,421094
1,R52,153125
1,R53,4
1,R54,19141
1,R55,170
1,R56,348
1,R1,314187
1,R2,109965
1,R3,94256
1,R4,25135
1,R5,1570935
1,R6,4712805
1,R7,628374
1,R8,1080
1,R9,1440
1,R10,120438
1,R11,99493
1,R12,2400
1,R13,1200
1,R14,105
1,R15,13
1,R16,42
1,R17,3142
1,R18,4189
1,R19,26182
1,R20,2095
1,R21,70
1,R22,26
1,R23,84
1,R24,37
1,R25,105
1,R26,8
1,R27,0
1,R28,0
1,R29,21
1,R30,35
1,R31,1
1,R32,1
1,R33,0
1,R34,10
1,R35,0
1,R36,1
1,R37,0
1,R38,0
1,R39,209458
1,R40,125675
1,R41,120
1,R42,3600
1,R43,78547
1,R44,1
1,R45,21
1,R46,0
1,R47,35
1,R48,2095
1,R49,1440
1,R50,188512
1,R51,57601
1,R52,20946
1,R53,1
1,R54,2618
1,R55,23
1,R56,48
2,R1,2261235
2,R2,791432
2,R3,678370
2,R4,180899
2,R5,11306175
2,R6,33918525
2,R7,4522470
2,R8,9303
2,R9,12404
2,R10,866807
2,R11,716058
2,R12,20673
2,R13,10336
2,R14,754
2,R15,94
2,R16,301
2,R17,22612
2,R18,30150
2,R19,188436
2,R20,15075
2,R21,502
2,R22,188
2,R23,603
2,R24,264
2,R25,754
2,R26,60
2,R27,3
2,R28,2
2,R29,151
2,R30,251
2,R31,6
2,R32,8
2,R33,1
2,R34,75
2,R35,3
2,R36,4
2,R37,0
2,R38,1
2,R39,1507490
2,R40,904494
2,R41,1034
2,R42,31009
2,R43,565309
2,R44,6
2,R45,151
2,R46,2
2,R47,251
2,R48,15075
2,R49,12404
2,R50,1356741
2,R51,414560
2,R52,150749
2,R53,4
2,R54,18844
2,R55,167
2,R56,343
2,R1,1967499
2,R2,688625
2,R3,590250
2,R4,157400
2,R5,9837495
2,R6,29512485
2,R7,3934998
2,R8,8048
2,R9,10730
2,R10,754208
2,R11,623041
2,R12,17883
2,R13,8942
2,R14,656
2,R15,82
2,R16,262
2,R17,19675
2,R18,26233
2,R19,163958
2,R20,13117
2,R21,437
2,R22,164
2,R23,525
2,R24,230
2,R25,656
2,R26,52
2,R27,3
2,R28,1
2,R29,131
2,R30,219
2,R31,5
2,R32,7
2,R33,1
2,R34,66
2,R35,3
2,R36,4
2,R37,0
2,R38,1
2,R39,1311666
2,R40,787000
2,R41,894
2,R42,26825
2,R43,491875
2,R44,5
2,R45,131
2,R46,2
2,R47,219
2,R48,13117
2,R49,10730
2,R50,1180499
2,R51,360708
2,R52,131167
2,R53,4
2,R54,16396
2,R55,146
2,R56,298
2,R1,293736
2,R2,102808
2,R3,88121
2,R4,23499
2,R5,1468680
2,R6,4406040
2,R7,587472
2,R8,1255
2,R9,1674
2,R10,112599
2,R11,93016
2,R12,2789
2,R13,1395
2,R14,98
2,R15,12
2,R16,39
2,R17,2937
2,R18,3916
2,R19,24478
2,R20,1958
2,R21,65
2,R22,24
2,R23,78
2,R24,34
2,R25,98
2,R26,8
2,R27,0
2,R28,0
2,R29,20
2,R30,33
2,R31,1
2,R32,1
2,R33,0
2,R34,10
2,R35,0
2,R36,1
2,R37,0
2,R38,0
2,R39,195824
2,R40,117494
2,R41,139
2,R42,4184
2,R43,73434
2,R44,1
2,R45,20
2,R46,0
2,R47,33
2,R48,1958
2,R49,1674
2,R50,176242
2,R51,53852
2,R52,19582
2,R53,1
2,R54,2448
2,R55,22
2,R56,45
3,R1,400461
3,R2,140161
3,R3,120138
3,R4,32037
3,R5,2002305
3,R6,6006915
3,R7,800922
3,R8,1972
3,R9,2629
3,R10,153510
3,R11,126813
3,R12,4382
3,R13,2191
3,R14,133
3,R15,17
3,R16,53
3,R17,4005
3,R18,5339
3,R19,33372
3,R20,2670
3,R21,89
3,R22,33
3,R23,107
3,R24,47
3,R25,133
3,R26,11
3,R27,1
3,R28,0
3,R29,27
3,R30,44
3,R31,1
3,R32,1
3,R33,0
3,R34,13
3,R35,1
3,R36,1
3,R37,0
3,R38,0
3,R39,266974
3,R40,160184
3,R41,219
3,R42,6573
3,R43,100115
3,R44,1
3,R45,27
3,R46,0
3,R47,44
3,R48,2670
3,R49,2629
3,R50,240277
3,R51,73418
3,R52,26697
3,R53,1
3,R54,3337
3,R55,30
3,R56,61
3,R1,263448
3,R2,92207
3,R3,79034
3,R4,21076
3,R5,1317240
3,R6,3951720
3,R7,526896
3,R8,1341
3,R9,1789
3,R10,100988
3,R11,83425
3,R12,2981
3,R13,1490
3,R14,88
3,R15,11
3,R16,35
3,R17,2634
3,R18,3513
3,R19,21954
3,R20,1756
3,R21,59
3,R22,22
3,R23,70
3,R24,31
3,R25,88
3,R26,7
3,R27,0
3,R28,0
3,R29,18
3,R30,29
3,R31,1
3,R32,1
3,R33,0
3,R34,9
3,R35,0
3,R36,0
3,R37,0
3,R38,0
3,R39,175632
3,R40,105379
3,R41,149
3,R42,4472
3,R43,65862
3,R44,1
3,R45,18
3,R46,0
3,R47,29
3,R48,1756
3,R49,1789
3,R50,158069
3,R51,48299
3,R52,17563
3,R53,0
3,R54,2195
3,R55,20
3,R56,40
3,R1,137013
3,R2,47955
3,R3,41104
3,R4,10961
3,R5,685065
3,R6,2055195
3,R7,274026
3,R8,630
3,R9,840
3,R10,52522
3,R11,43387
3,R12,1401
3,R13,700
3,R14,46
3,R15,6
3,R16,18
3,R17,1370
3,R18,1827
3,R19,11418
3,R20,913
3,R21,30
