district_code,shelter_type,max_people,max_days
1,school,36772,14
1,college,23064,21
1,marriage_hall,14099,7
1,community_hall,11358,10
1,school,32347,14
1,college,20289,21
1,marriage_hall,12403,7
1,community_hall,9991,10
1,school,4424,14
1,college,2775,21
1,marriage_hall,1696,7
1,community_hall,1366,10
2,school,31845,14
2,college,19974,21
2,marriage_hall,12210,7
2,community_hall,9836,10
2,school,27708,14
2,college,17379,21
2,marriage_hall,10624,7
2,community_hall,8558,10
2,school,4136,14
2,college,2594,21
2,marriage_hall,1586,7
2,community_hall,1277,10
3,school,5668,14
3,college,3556,21
3,marriage_hall,2177,7
3,community_hall,1755,10
3,school,3736,14
3,college,2344,21
3,marriage_hall,1436,7
3,community_hall,1158,10
3,school,1931,14
3,college,1211,21
3,marriage_hall,741,7
3,community_hall,597,10
4,school,5948,14
4,college,3731,21
4,marriage_hall,2280,7
4,community_hall,1837,10
4,school,5258,14
4,college,3298,21
4,marriage_hall,2016,7
4,community_hall,1624,10
4,school,690,14
4,college,432,21
4,marriage_hall,264,7
4,community_hall,213,10
5,school,20427,14
5,college,12823,21
5,marriage_hall,7874,7
5,community_hall,6353,10
5,school,18773,14
5,college,11785,21
5,marriage_hall,7237,7
5,community_hall,5839,10
5,school,1653,14
5,college,1037,21
5,marriage_hall,637,7
5,community_hall,514,10
6,school,27652,14
6,college,17364,21
6,marriage_hall,10679,7
6,community_hall,8621,10
6,school,25443,14
6,college,15978,21
6,marriage_hall,9832,7
6,community_hall,7939,10
6,school,2210,14
6,college,1386,21
6,marriage_hall,847,7
6,community_hall,682,10
7,school,26451,14
7,college,16606,21
7,marriage_hall,10203,7
7,community_hall,8234,10
7,school,22593,14
7,college,14184,21
7,marriage_hall,8714,7
7,community_hall,7032,10
7,school,3857,14
7,college,2422,21
7,marriage_hall,1489,7
7,community_hall,1202,10
8,school,42611,14
8,college,26727,21
8,marriage_hall,16341,7
8,community_hall,13164,10
8,school,34901,14
8,college,21891,21
8,marriage_hall,13385,7
8,community_hall,10783,10
8,school,7710,14
8,college,4836,21
8,marriage_hall,2956,7
8,community_hall,2381,10
9,school,16571,14
9,college,10394,21
9,marriage_hall,6354,7
9,community_hall,5118,10
9,school,13810,14
9,college,8662,21
9,marriage_hall,5295,7
9,community_hall,4265,10
9,school,2761,14
9,college,1732,21
9,marriage_hall,1058,7
9,community_hall,852,10
10,school,52348,14
10,college,32837,21
10,marriage_hall,20085,7
10,community_hall,16183,10
10,school,735,14
10,college,461,21
