resource_id,quantity
R1,2596364290
R10,995272975
R11,822182025
R12,35639337
R13,17819659
R14,865453
R15,108183
R16,346184
R17,25963642
R18,34618190
R19,216363686
R2,908727500
R20,17309091
R21,576967
R22,216359
R23,692354
R24,302911
R25,865453
R26,69239
R27,3454
R28,1709
R29,173095
R3,778909285
R30,288489
R31,7207
R32,8650
R33,1060
R34,86548
R35,3454
R36,4797
R37,301
R38,1129
R39,1730909529
R4,207709141
R40,1038545714
R41,1781966
R42,53458988
R43,649091077
R44,7207
R45,173095
R46,2465
R47,288489
R48,17309091
R49,21383592
R5,12981821458
R50,1557818578
R51,476000135
R52,173090950
R53,4797
R54,21636367
R55,192321
R56,393389
R6,38945464373
R7,5192728584
R8,16037700
R9,21383592
