state_code,resource_id,quantity
1,R1,90297374
1,R10,34613992
1,R11,28594164
1,R12,1017466
1,R13,508734
1,R14,30100
1,R15,3762
1,R16,12037
1,R17,902966
1,R18,1203967
1,R19,7524781
1,R2,31604084
1,R20,601981
1,R21,20068
1,R22,7523
1,R23,24079
1,R24,10536
1,R25,30100
1,R26,2404
1,R27,114
1,R28,62
1,R29,6016
1,R3,27089212
1,R30,10033
1,R31,246
1,R32,300
1,R33,34
1,R34,3013
1,R35,114
1,R36,163
1,R37,1
1,R38,36
1,R39,60198250
1,R4,7223788
1,R40,36118949
1,R41,50870
1,R42,1526197
1,R43,22574344
1,R44,246
1,R45,6016
1,R46,83
1,R47,10033
1,R48,601981
1,R49,610476
1,R5,451486872
1,R50,54178426
1,R51,16554521
1,R52,6019824
1,R53,163
1,R54,752477
1,R55,6691
1,R56,13684
1,R6,1354460616
1,R7,180594749
1,R8,457862
1,R9,610476
10,R1,749516054
10,R10,287314492
10,R11,237346750
10,R12,9078509
10,R13,4539250
10,R14,249840
10,R15,31224
10,R16,99935
10,R17,7495164
10,R18,9993551
10,R19,62459670
10,R2,262330620
10,R20,4996766
10,R21,166561
10,R22,62455
10,R23,199865
10,R24,87446
10,R25,249840
10,R26,19986
10,R27,1004
10,R28,494
10,R29,49973
10,R3,224854813
10,R30,83282
10,R31,2078
10,R32,2496
10,R33,304
10,R34,24984
10,R35,1004
10,R36,1387
10,R37,96
10,R38,330
10,R39,499677370
10,R4,59961288
10,R40,299806418
10,R41,453929
10,R42,13617766
10,R43,187379015
10,R44,2078
10,R45,49973
10,R46,708
10,R47,83282
10,R48,4996766
10,R49,5447104
10,R5,3747580272
10,R50,449709636
10,R51,137411280
10,R52,49967734
10,R53,1387
10,R54,6245968
10,R55,55516
10,R56,113566
10,R6,11242740816
10,R7,1499032109
10,R8,4085328
10,R9,5447104
11,R1,4396154
11,R10,1685192
11,R11,1392118
11,R12,61925
11,R13,30960
11,R14,1465
11,R15,182
11,R16,584
11,R17,43962
11,R18,58614
11,R19,366347
11,R2,1538652
11,R20,29309
11,R21,976
11,R22,366
11,R23,1172
11,R24,512
11,R25,1465
11,R26,116
11,R27,7
11,R28,1
11,R29,292
11,R3,1318846
11,R30,491
11,R31,10
11,R32,12
11,R33,0
11,R34,146
11,R35,7
11,R36,10
11,R37,0
11,R38,0
11,R39,2930770
11,R4,351694
11,R40,1758462
11,R41,3096
11,R42,92885
11,R43,1099038
11,R44,10
11,R45,292
11,R46,1
11,R47,491
11,R48,29309
11,R49,37153
11,R5,21980772
11,R50,2637692
11,R51,805962
11,R52,293077
11,R53,10
11,R54,36635
11,R55,326
11,R56,667
11,R6,65942316
11,R7,8792309
11,R8,27866
11,R9,37153
12,R1,9962834
12,R10,3819085
12,R11,3154900
12,R12,129878
12,R13,64936
12,R14,3319
12,R15,414
12,R16,1327
12,R17,99624
12,R18,132839
12,R19,830238
12,R2,3486989
12,R20,66424
12,R21,2216
12,R22,832
12,R23,2657
12,R24,1163
12,R25,3319
12,R26,266
12,R27,5
12,R28,0
12,R29,664
12,R3,2988850
12,R30,1106
12,R31,28
12,R32,30
12,R33,0
12,R34,331
12,R35,5
12,R36,13
12,R37,0
12,R38,0
12,R39,6641890
12,R4,797024
12,R40,3985134
12,R41,6493
12,R42,194815
12,R43,2490707
12,R44,28
12,R45,664
12,R46,1
12,R47,1106
12,R48,66424
12,R49,77924
12,R5,49814172
12,R50,5977700
12,R51,1826519
12,R52,664189
12,R53,13
12,R54,83022
12,R55,738
12,R56,1510
12,R6,149442516
12,R7,19925669
12,R8,58446
12,R9,77924
13,R1,14245214
13,R10,5460666
13,R11,4510985
13,R12,190079
13,R13,95041
13,R14,4750
13,R15,589
13,R16,1902
13,R17,142454
13,R18,189940
13,R19,1187104
13,R2,4985825
13,R20,94966
13,R21,3168
13,R22,1189
13,R23,3799
13,R24,1666
13,R25,4750
13,R26,380
13,R27,20
13,R28,4
13,R29,952
13,R3,4273565
13,R30,1580
13,R31,36
13,R32,47
13,R33,0
13,R34,476
13,R35,20
13,R36,24
13,R37,0
13,R38,1
13,R39,9496810
13,R4,1139616
13,R40,5698086
13,R41,9506
13,R42,285121
13,R43,3561301
13,R44,36
13,R45,952
13,R46,10
13,R47,1580
13,R48,94966
13,R49,114052
13,R5,71226072
13,R50,8547128
13,R51,2611620
13,R52,949681
13,R53,24
13,R54,118708
13,R55,1056
13,R56,2156
13,R6,213678216
13,R7,28490429
13,R8,85535
13,R9,114052
14,R1,20561717
14,R10,7881991
14,R11,6511210
14,R12,267772
14,R13,133886
14,R14,6852
14,R15,857
14,R16,2743
14,R17,205615
14,R18,274156
14,R19,1713479
14,R2,7196602
14,R20,137080
14,R21,4568
14,R22,1715
14,R23,5482
14,R24,2400
14,R25,6852
14,R26,550
14,R27,30
14,R28,12
14,R29,1369
14,R3,6168515
14,R30,2281
14,R31,56
14,R32,68
14,R33,6
14,R34,686
14,R35,30
14,R36,41
14,R37,0
14,R38,6
14,R39,13707811
14,R4,1644937
14,R40,8224687
14,R41,13390
14,R42,401656
14,R43,5140427
14,R44,56
14,R45,1369
14,R46,17
14,R47,2281
14,R48,137080
14,R49,160662
14,R5,102808584
14,R50,12337030
14,R51,3769646
14,R52,1370782
14,R53,41
14,R54,171349
14,R55,1523
14,R56,3115
14,R6,308425752
14,R7,41123434
14,R8,120496
14,R9,160662
15,R1,7899883
15,R10,3028289
15,R11,2501628
15,R12,106969
15,R13,53484
15,R14,2634
15,R15,331
15,R16,1056
15,R17,79000
15,R18,105332
15,R19,658326
15,R2,2764960
15,R20,52666
15,R21,1758
15,R22,655
15,R23,2107
15,R24,919
15,R25,2634
15,R26,214
15,R27,6
15,R28,2
15,R29,524
15,R3,2369965
15,R30,878
15,R31,22
15,R32,25
15,R33,1
15,R34,264
15,R35,6
15,R36,11
15,R37,0
15,R38,1
15,R39,5266589
15,R4,631990
15,R40,3159955
15,R41,5347
15,R42,160452
15,R43,1974968
15,R44,22
15,R45,524
15,R46,2
15,R47,878
15,R48,52666
15,R49,64181
15,R5,39499416
15,R50,4739928
15,R51,1448312
15,R52,526661
15,R53,11
15,R54,65833
15,R55,586
15,R56,1195
15,R6,118498248
15,R7,15799766
15,R8,48139
15,R9,64181
16,R1,26452202
16,R10,10140011
16,R11,8376530
16,R12,410666
16,R13,205332
16,R14,8818
16,R15,1103
16,R16,3524
16,R17,264522
16,R18,352696
16,R19,2204352
16,R2,9258271
16,R20,176350
16,R21,5878
16,R22,2202
16,R23,7052
16,R24,3086
16,R25,8818
16,R26,706
16,R27,35
16,R28,17
16,R29,1766
16,R3,7935660
16,R30,2938
16,R31,73
16,R32,88
16,R33,10
16,R34,882
16,R35,35
16,R36,50
16,R37,1
16,R38,11
16,R39,17634802
16,R4,2116174
16,R40,10580880
16,R41,20532
16,R42,616000
16,R43,6613049
16,R44,73
16,R45,1766
16,R46,25
16,R47,2938
16,R48,176350
16,R49,246402
16,R5,132261012
16,R50,15871322
16,R51,4849572
16,R52,1763479
16,R53,50
16,R54,220435
16,R55,1958
16,R56,4007
16,R6,396783036
16,R7,52904405
16,R8,184800
16,R9,246402
17,R1,21361601
17,R10,8188614
17,R11,6764504
17,R12,263066
17,R13,131534
17,R14,7117
17,R15,889
17,R16,2846
17,R17,213619
17,R18,284820
17,R19,1780133
17,R2,7476563
17,R20,142411
17,R21,4747
17,R22,1780
17,R23,5696
17,R24,2491
17,R25,7117
17,R26,568
17,R27,28
17,R28,16
17,R29,1427
17,R3,6408481
17,R30,2369
17,R31,58
17,R32,70
17,R33,5
17,R34,712
17,R35,28
17,R36,40
17,R37,0
17,R38,7
17,R39,14241067
17,R4,1708928
17,R40,8544640
17,R41,13153
17,R42,394606
17,R43,5340401
17,R44,58
17,R45,1427
17,R46,19
17,R47,2369
17,R48,142411
17,R49,157837
17,R5,106808004
17,R50,12816961
17,R51,3916297
17,R52,1424106
17,R53,40
17,R54,178013
17,R55,1585
17,R56,3238
17,R6,320424012
17,R7,42723202
17,R8,118384
17,R9,157837
18,R1,224680147
18,R10,86127385
18,R11,71148716
18,R12,3075103
18,R13,1537552
18,R14,74892
18,R15,9364
18,R16,29960
18,R17,2246804
18,R18,2995733
18,R19,18723340
18,R2,78638048
18,R20,1497869
18,R21,49924
18,R22,18726
18,R23,59911
18,R24,26209
18,R25,74892
18,R26,5994
18,R27,296
18,R28,145
18,R29,14980
18,R3,67404044
18,R30,24970
18,R31,622
18,R32,746
18,R33,85
18,R34,7488
18,R35,296
18,R36,416
18,R37,18
18,R38,89
18,R39,149786765
18,R4,17974411
