district_code,resource_id,quantity
1,R1,130553.1
1,R2,1958296.5
1,R3,43.7
1,R4,218.5
1,R5,0.75
1,R6,0.5
1,R7,2.45
1,R8,0.05
1,R9,0.25
1,R10,0.05
1,R11,0.0
1,R1,114843.75
1,R2,1722656.25
1,R3,37.9
1,R4,189.5
1,R5,0.8500000000000001
1,R6,0.35000000000000003
1,R7,2.35
1,R8,0.25
1,R9,0.30000000000000004
1,R10,0.1
1,R11,0.05
1,R1,15709.35
1,R2,235640.25
1,R3,5.050000000000001
1,R4,25.25
1,R5,0.05
1,R6,0.05
1,R7,0.9
1,R8,0.1
1,R9,0.1
1,R10,0.05
1,R11,0.0
2,R1,113061.75
2,R2,1695926.25
2,R3,39.35
2,R4,196.75
2,R5,0.6000000000000001
2,R6,0.45
2,R7,2.8000000000000003
2,R8,0.1
2,R9,0.05
2,R10,0.15000000000000002
2,R11,0.0
2,R1,98374.95000000001
2,R2,1475624.25
2,R3,33.7
2,R4,168.5
2,R5,0.65
2,R6,0.45
2,R7,1.9500000000000002
2,R8,0.05
2,R9,0.2
2,R10,0.0
2,R11,0.0
2,R1,14686.800000000001
2,R2,220302.0
2,R3,4.9
2,R4,24.5
2,R5,0.05
2,R6,0.05
2,R7,0.35000000000000003
2,R8,0.0
2,R9,0.0
2,R10,0.0
2,R11,0.0
3,R1,20023.050000000003
3,R2,300345.75
3,R3,6.5
3,R4,32.5
3,R5,0.1
3,R6,0.15000000000000002
3,R7,0.35000000000000003
3,R8,0.05
3,R9,0.0
3,R10,0.0
3,R11,0.0
3,R1,13172.400000000001
3,R2,197586.0
3,R3,3.5500000000000003
3,R4,17.75
3,R5,0.05
3,R6,0.15000000000000002
3,R7,0.4
3,R8,0.0
3,R9,0.05
3,R10,0.0
3,R11,0.0
3,R1,6850.650000000001
3,R2,102759.75
3,R3,1.85
3,R4,9.25
3,R5,0.05
3,R6,0.05
3,R7,0.15000000000000002
3,R8,0.0
3,R9,0.0
3,R10,0.0
3,R11,0.0
4,R1,21120.300000000003
4,R2,316804.5
4,R3,7.7
4,R4,38.5
4,R5,0.1
4,R6,0.05
4,R7,0.55
4,R8,0.0
4,R9,0.0
4,R10,0.0
4,R11,0.0
4,R1,18669.600000000002
4,R2,280044.0
4,R3,6.1000000000000005
4,R4,30.5
4,R5,0.1
4,R6,0.1
4,R7,0.8
4,R8,0.0
4,R9,0.0
4,R10,0.0
4,R11,0.0
4,R1,2450.7000000000003
4,R2,36760.5
4,R3,1.25
4,R4,6.25
4,R5,0.05
4,R6,0.05
4,R7,0.05
4,R8,0.0
4,R9,0.0
4,R10,0.0
4,R11,0.0
5,R1,71525.25
5,R2,1072878.75
5,R3,26.55
5,R4,132.75
5,R5,0.25
5,R6,0.45
5,R7,0.75
5,R8,0.0
5,R9,0.2
5,R10,0.05
5,R11,0.05
5,R1,65730.75
5,R2,985961.25
5,R3,21.5
5,R4,107.5
5,R5,0.2
5,R6,0.1
5,R7,2.4000000000000004
5,R8,0.0
5,R9,0.1
5,R10,0.0
5,R11,0.0
5,R1,5794.5
5,R2,86917.5
5,R3,2.75
5,R4,13.75
5,R5,0.05
5,R6,0.05
5,R7,0.15000000000000002
5,R8,0.0
5,R9,0.0
5,R10,0.0
5,R11,0.0
6,R1,96362.25
6,R2,1445433.75
6,R3,30.400000000000002
6,R4,152.0
6,R5,0.65
6,R6,0.1
6,R7,2.6500000000000004
6,R8,0.2
6,R9,0.25
6,R10,0.0
6,R11,0.0
6,R1,88515.15000000001
6,R2,1327727.25
6,R3,28.55
6,R4,142.75
6,R5,0.55
6,R6,0.35000000000000003
6,R7,4.0
6,R8,0.05
6,R9,0.25
6,R10,0.0
6,R11,0.0
6,R1,7847.1
6,R2,117706.5
6,R3,2.75
6,R4,13.75
6,R5,0.05
6,R6,0.05
6,R7,0.1
6,R8,0.0
6,R9,0.0
6,R10,0.0
6,R11,0.0
7,R1,92465.25
7,R2,1386978.75
7,R3,30.0
7,R4,150.0
7,R5,0.35000000000000003
7,R6,0.75
7,R7,2.7
7,R8,0.25
7,R9,0.25
7,R10,0.05
7,R11,0.0
7,R1,79008.3
7,R2,1185124.5
7,R3,26.55
7,R4,132.75
7,R5,0.1
7,R6,0.4
7,R7,2.2
7,R8,0.05
7,R9,0.1
7,R10,0.0
7,R11,0.0
7,R1,13456.95
7,R2,201854.25
7,R3,4.3
7,R4,21.5
7,R5,0.2
7,R6,0.05
7,R7,0.05
7,R8,0.0
7,R9,0.0
7,R10,0.0
7,R11,0.0
8,R1,151205.85
8,R2,2268087.75
8,R3,48.0
8,R4,240.0
8,R5,0.65
8,R6,0.8500000000000001
8,R7,5.65
8,R8,0.30000000000000004
8,R9,0.4
8,R10,0.05
8,R11,0.0
8,R1,123830.85
8,R2,1857462.75
8,R3,43.0
8,R4,215.0
8,R5,0.35000000000000003
8,R6,0.8500000000000001
8,R7,5.15
8,R8,0.25
8,R9,0.2
8,R10,0.0
8,R11,0.05
8,R1,27375.0
8,R2,410625.0
8,R3,8.950000000000001
8,R4,44.75
8,R5,0.05
8,R6,0.05
8,R7,0.6000000000000001
8,R8,0.0
8,R9,0.0
8,R10,0.0
8,R11,0.0
9,R1,58834.8
9,R2,882522.0
9,R3,22.5
9,R4,112.5
9,R5,0.4
9,R6,0.4
9,R7,2.8000000000000003
9,R8,0.0
9,R9,0.15000000000000002
9,R10,0.0
9,R11,0.0
9,R1,49030.65
9,R2,735459.75
9,R3,15.8
9,R4,79.0
9,R5,0.35000000000000003
9,R6,0.4
9,R7,1.55
9,R8,0.05
9,R9,0.30000000000000004
9,R10,0.0
9,R11,0.0
9,R1,9804.15
9,R2,147062.25
9,R3,3.6500000000000004
9,R4,18.25
9,R5,0.05
9,R6,0.05
9,R7,0.1
9,R8,0.0
9,R9,0.05
9,R10,0.05
9,R11,0.0
10,R1,185524.35
10,R2,2782865.25
10,R3,63.0
10,R4,315.0
10,R5,0.8
10,R6,0.8
10,R7,4.4
10,R8,0.15000000000000002
10,R9,0.45
10,R10,0.05
10,R11,0.0
10,R1,2596.9500000000003
10,R2,38954.25
10,R3,0.7000000000000001
10,R4,3.5
10,R5,0.05
10,R6,0.05
10,R7,0.1
10,R8,0.0
10,R9,0.0
10,R10,0.0
10,R11,0.0
10,R1,182927.40000000002
10,R2,2743911.0
10,R3,60.650000000000006
10,R4,303.25
10,R5,0.8500000000000001
10,R6,0.7000000000000001
10,R7,3.3000000000000003
10,R8,0.30000000000000004
10,R9,0.25
10,R10,0.0
10,R11,0.05
11,R1,44616.9
11,R2,669253.5
11,R3,14.65
11,R4,73.25
11,R5,0.25
11,R6,0.15000000000000002
11,R7,1.25
11,R8,0.0
11,R9,0.0
11,R10,0.05
11,R11,0.0
11,R1,37561.05
11,R2,563415.75
11,R3,12.75
11,R4,63.75
11,R5,0.1
11,R6,0.25
11,R7,1.2000000000000002
11,R8,0.0
11,R9,0.15000000000000002
11,R10,0.0
11,R11,0.05
11,R1,7055.85
11,R2,105837.75
11,R3,2.85
11,R4,14.25
11,R5,0.05
11,R6,0.05
11,R7,0.15000000000000002
11,R8,0.0
11,R9,0.0
11,R10,0.05
11,R11,0.0
12,R1,84066.0
12,R2,1260990.0
12,R3,26.85
12,R4,134.25
12,R5,0.2
12,R6,0.30000000000000004
12,R7,2.0500000000000003
12,R8,0.15000000000000002
12,R9,0.1
12,R10,0.1
12,R11,0.0
12,R1,71996.7
12,R2,1079950.5
12,R3,23.0
12,R4,115.0
12,R5,0.30000000000000004
12,R6,0.55
12,R7,2.5
12,R8,0.1
12,R9,0.2
12,R10,0.05
12,R11,0.0
12,R1,12069.300000000001
12,R2,181039.5
12,R3,3.95
12,R4,19.75
12,R5,0.1
12,R6,0.05
12,R7,0.30000000000000004
12,R8,0.0
12,R9,0.0
12,R10,0.0
12,R11,0.0
13,R1,39932.25
13,R2,598983.75
13,R3,11.600000000000001
13,R4,58.0
13,R5,0.25
13,R6,0.05
13,R7,1.4500000000000002
13,R8,0.1
13,R9,0.05
13,R10,0.0
13,R11,0.0
13,R1,37478.25
13,R2,562173.75
13,R3,12.55
13,R4,62.75
13,R5,0.35000000000000003
13,R6,0.15000000000000002
13,R7,1.1500000000000001
13,R8,0.05
13,R9,0.05
13,R10,0.05
13,R11,0.0
13,R1,2454.0
13,R2,36810.0
13,R3,1.05
13,R4,5.25
13,R5,0.05
13,R6,0.05
13,R7,0.05
13,R8,0.0
13,R9,0.0
13,R10,0.0
13,R11,0.0
14,R1,161803.80000000002
14,R2,2427057.0
14,R3,52.1
14,R4,260.5
