district_code,resource_id,time,demand,priority,urgency,time_index
23,R1,1,770910505.3026283,1.0,1.0,1.0
23,R1,2,681160767.6308434,1.0,1.0,1.0
23,R2,1,302482284.59262836,1.0,1.0,1.0
23,R2,2,259106195.32084343,1.0,1.0,1.0
23,R3,1,225326327.54515406,1.0,1.0,1.0
23,R3,2,255437178.34301215,1.0,1.0,1.0
245,R1,1,784177108.6910352,1.0,1.0,1.0
245,R1,2,477336248.341179,1.0,1.0,1.0
245,R2,1,245443951.89103502,1.0,1.0,1.0
245,R2,2,206240743.08117905,1.0,1.0,1.0
245,R3,1,185417745.12124205,1.0,1.0,1.0
245,R3,2,176917221.34141487,1.0,1.0,1.0
272,R1,1,647001170.7570777,1.0,1.0,1.0
272,R1,2,577038867.6684731,1.0,1.0,1.0
272,R2,1,284812635.4570777,1.0,1.0,1.0
272,R2,2,177872754.94847322,1.0,1.0,1.0
272,R3,1,236924584.19849324,1.0,1.0,1.0
272,R3,2,145149469.43216783,1.0,1.0,1.0
