district_code,resource_id,time,demand
296,R3,0,0.0104228062398828
296,R3,1,10.416407819877413
296,R3,2,8.578630625046964
296,R45,1,10.72
296,R45,2,8.05
296,R6,0,0.0138970749865104
296,R6,1,8.041877093169884
296,R6,2,9.084840833395953
313,R3,0,0.0294817008900625
313,R3,1,8.297972116399576
313,R3,2,10.407940471378248
313,R45,1,8.93
313,R45,2,7.66
313,R6,0,0.0393089345200835
313,R6,1,7.353962821866102
313,R6,2,8.030587295171
314,R3,0,0.0349359249668823
314,R3,1,9.355136160112512
314,R3,2,8.901007091397
314,R45,1,7.24
314,R45,2,8.31
314,R6,0,0.0465812332891765
314,R6,1,8.98018154681668
314,R6,2,9.054676121862666
317,R3,0,0.0295229694905721
317,R3,1,6.869785311277276
317,R3,2,8.483024732279105
317,R45,1,8.82
317,R45,2,9.6
317,R6,0,0.0393639593207629
317,R6,1,10.106380415036368
317,R6,2,10.300699643038808
