state_code,resource_id,quantity
1,R1,45148687.0
1,R10,17.0
1,R11,3.5
1,R2,677230308.0
1,R3,15091.0
1,R4,75456.0
1,R5,230.0
1,R6,202.0
1,R7,1206.0
1,R8,46.5
1,R9,89.0
2,R1,24573745.0
2,R10,7.0
2,R11,1.0
2,R2,368606178.0
2,R3,8177.0
2,R4,40885.0
2,R5,128.0
2,R6,102.0
2,R7,702.0
2,R8,28.0
2,R9,36.5
3,R1,99876016.5
3,R10,36.0
3,R11,13.0
3,R2,1498140252.0
3,R3,33203.0
3,R4,166017.0
3,R5,510.5
3,R6,422.0
3,R7,2794.5
3,R8,144.5
3,R9,168.5
4,R1,3799620.0
4,R10,1.5
4,R11,0.0
4,R2,56994300.0
4,R3,1284.5
4,R4,6423.0
4,R5,15.0
4,R6,17.0
4,R7,81.0
4,R8,4.5
4,R9,11.0
5,R1,36310651.0
5,R10,15.0
5,R11,3.0
5,R2,544659768.0
5,R3,12096.0
5,R4,60480.0
5,R5,182.0
5,R6,152.0
5,R7,1030.5
5,R8,43.5
5,R9,58.5
6,R1,91265263.0
6,R10,28.0
6,R11,9.0
6,R2,1368978948.0
6,R3,30439.0
6,R4,152196.0
6,R5,488.0
6,R6,390.5
6,R7,2724.5
6,R8,115.0
6,R9,144.5
7,R1,59567398.5
7,R10,20.0
7,R11,6.0
7,R2,893510982.0
7,R3,19883.0
7,R4,99415.0
7,R5,313.0
7,R6,256.0
7,R7,1824.0
7,R8,85.5
7,R9,111.5
8,R1,246774373.0
8,R10,97.5
8,R11,32.0
8,R2,3701615598.0
8,R3,82220.0
8,R4,411102.0
8,R5,1396.5
8,R6,1074.5
8,R7,7035.0
8,R8,315.5
8,R9,436.5
9,R1,719324427.5
9,R10,238.0
9,R11,87.0
9,R2,10789866414.0
9,R3,239968.5
9,R4,1199844.0
9,R5,4021.5
9,R6,3129.0
9,R7,20224.5
9,R8,955.5
9,R9,1297.0
10,R1,374758027.0
10,R10,167.0
10,R11,46.0
10,R2,5621370408.0
10,R3,124932.5
10,R4,624663.0
10,R5,2137.0
10,R6,1643.0
10,R7,9414.5
10,R8,477.5
10,R9,665.0
11,R1,2198077.0
11,R10,0.5
11,R11,0.0
11,R2,32971158.0
11,R3,694.0
11,R4,3471.0
11,R5,17.0
11,R6,16.5
11,R7,49.5
11,R8,3.0
11,R9,1.5
12,R1,4981417.0
12,R10,5.0
12,R11,0.5
12,R2,74721258.0
12,R3,1681.5
12,R4,8409.0
12,R5,45.0
12,R6,38.0
12,R7,130.5
12,R8,4.5
12,R9,7.0
13,R1,7122607.0
13,R10,3.0
13,R11,0.5
13,R2,106839108.0
13,R3,2390.0
13,R4,11952.0
13,R5,44.0
13,R6,45.0
13,R7,153.0
13,R8,6.5
13,R9,15.0
14,R1,10280858.0
14,R10,6.5
14,R11,1.0
14,R2,154212876.0
14,R3,3417.0
14,R4,17085.0
14,R5,61.5
