state_code,resource_id,quantity
1,R1,2.323869
1,R10,2.618719
1,R11,2.022952
1,R2,2.323869
1,R3,2.796947
1,R4,3.030052
1,R5,3.165293
1,R6,3.818619
1,R7,2.653565
1,R8,1.474306
1,R9,2.346234
2,R1,1.264847
2,R10,1.078296
2,R11,0.577986
2,R2,1.264847
2,R3,1.515515
2,R4,1.6418
2,R5,1.761555
2,R6,1.928214
2,R7,1.544613
2,R8,0.887754
2,R9,0.96222
3,R1,5.140765
3,R10,5.545522
3,R11,7.513822
3,R2,5.140765
3,R3,6.153802
3,R4,6.666669
3,R5,7.025575
3,R6,7.977512
3,R7,6.148746
3,R8,4.581445
3,R9,4.442028
4,R1,0.195572
4,R10,0.231063
4,R11,0.0
4,R2,0.195572
4,R3,0.238068
4,R4,0.257925
4,R5,0.206432
4,R6,0.321369
4,R7,0.178225
4,R8,0.142675
4,R9,0.289984
5,R1,1.868963
5,R10,2.310634
5,R11,1.733959
5,R2,1.868963
5,R3,2.241857
5,R4,2.428668
5,R5,2.50471
5,R6,2.873417
5,R7,2.267412
5,R8,1.379189
5,R9,1.542188
6,R1,4.697557
6,R10,4.313184
6,R11,5.201877
6,R2,4.697557
6,R3,5.641526
6,R4,6.111665
6,R5,6.715927
6,R6,7.382034
6,R7,5.994725
6,R8,3.646133
6,R9,3.809335
7,R1,3.066022
7,R10,3.080846
7,R11,3.467918
7,R2,3.066022
7,R3,3.68509
7,R4,3.992163
7,R5,4.307551
7,R6,4.839439
7,R7,4.013352
7,R8,2.71082
7,R9,2.939383
8,R1,12.70184
8,R10,15.019123
8,R11,18.495561
8,R2,12.70184
8,R3,15.238551
8,R4,16.508435
8,R5,19.218836
8,R6,20.312409
8,R7,15.47913
8,R8,10.003085
8,R9,11.507092
9,R1,37.024685
9,R10,36.662064
9,R11,50.284807
9,R2,37.024685
9,R3,44.47546
9,R4,48.181588
9,R5,55.344466
9,R6,59.150794
9,R7,44.500022
9,R8,30.294606
9,R9,34.191749
10,R1,19.289346
10,R10,25.725062
10,R11,26.587369
10,R2,19.289346
10,R3,23.154832
10,R4,25.084307
10,R5,29.409704
10,R6,31.059365
10,R7,20.71475
10,R8,15.139377
10,R9,17.530851
11,R1,0.113138
11,R10,0.077021
11,R11,0.0
11,R2,0.113138
11,R3,0.128625
11,R4,0.139383
11,R5,0.233956
11,R6,0.311917
11,R7,0.108915
11,R8,0.095117
11,R9,0.039543
12,R1,0.256401
12,R10,0.770211
12,R11,0.288993
12,R2,0.256401
12,R3,0.311647
12,R4,0.337676
12,R5,0.619297
12,R6,0.718354
12,R7,0.28714
12,R8,0.142675
12,R9,0.184535
13,R1,0.366611
13,R10,0.462127
13,R11,0.288993
13,R2,0.366611
13,R3,0.44296
13,R4,0.479951
13,R5,0.605534
13,R6,0.850683
13,R7,0.336646
13,R8,0.206086
13,R9,0.395433
14,R1,0.529171
14,R10,1.001275
14,R11,0.577986
14,R2,0.529171
14,R3,0.633302
14,R4,0.686075
14,R5,0.846372
14,R6,0.907395
14,R7,0.689795
14,R8,0.380466
14,R9,0.514063
15,R1,0.203309
15,R10,0.154042
15,R11,0.577986
15,R2,0.203309
15,R3,0.238253
15,R4,0.258166
15,R5,0.357816
15,R6,0.415889
15,R7,0.254135
15,R8,0.348761
15,R9,0.197716
16,R1,0.680767
16,R10,0.539148
16,R11,0.866979
16,R2,0.680767
16,R3,0.817529
16,R4,0.885693
16,R5,1.011518
16,R6,1.20986
16,R7,0.795409
16,R8,0.428024
16,R9,0.566787
17,R1,0.549756
17,R10,0.462127
17,R11,0.288993
17,R2,0.549756
17,R3,0.659713
17,R4,0.714746
17,R5,0.763799
17,R6,0.812874
17,R7,0.575379
17,R8,0.491435
17,R9,0.448157
18,R1,5.782309
18,R10,6.931903
18,R11,9.536774
18,R2,5.782309
18,R3,6.928611
18,R4,7.505981
18,R5,8.525649
18,R6,9.376412
18,R7,7.420521
18,R8,4.914353
18,R9,5.31198
19,R1,16.635475
19,R10,19.024222
19,R11,25.431396
19,R2,16.635475
19,R3,19.92929
19,R4,21.589965
19,R5,26.450843
19,R6,26.938281
19,R7,20.603635
19,R8,13.411427
19,R9,14.973719
20,R1,6.112612
20,R10,7.008924
20,R11,7.224829
20,R2,6.112612
20,R3,7.357207
20,R4,7.970271
20,R5,9.193113
20,R6,9.754493
20,R7,7.813275
20,R8,4.914353
20,R9,5.351523
21,R1,7.777709
21,R10,8.857431
21,R11,9.825767
21,R2,7.777709
21,R3,9.33403
21,R4,10.111859
21,R5,11.209267
21,R6,12.429417
21,R7,9.137857
21,R8,5.928929
21,R9,6.28738
22,R1,4.733456
22,R10,3.774036
22,R11,7.802815
22,R2,4.733456
22,R3,5.659967
22,R4,6.131663
22,R5,7.328342
22,R6,7.372582
22,R7,5.373139
22,R8,3.947335
22,R9,4.34976
23,R1,13.457551
23,R10,15.866356
23,R11,17.628582
23,R2,13.457551
23,R3,16.123173
23,R4,17.466771
23,R5,19.163787
23,R6,20.681038
23,R7,16.599084
23,R8,11.144484
23,R9,11.915706
24,R1,11.199311
24,R10,10.78296
24,R11,9.825767
24,R2,11.199311
24,R3,13.435854
24,R4,14.555502
24,R5,16.583385
24,R6,17.958854
24,R7,12.802461
24,R8,9.448239
24,R9,10.254889
25,R1,0.045073
25,R10,0.077021
25,R11,0.0
25,R2,0.045073
25,R3,0.056528
25,R4,0.061319
25,R5,0.055049
25,R6,0.085068
25,R7,0.053907
25,R8,0.015853
25,R9,0.013181
26,R1,0.063688
26,R10,0.0
26,R11,0.0
26,R2,0.063688
26,R3,0.077286
26,R4,0.083726
26,R5,0.110097
26,R6,0.122876
26,R7,0.050607
26,R8,0.095117
26,R9,0.0
27,R1,20.054147
27,R10,21.180814
27,R11,31.211259
27,R2,20.054147
27,R3,24.099597
27,R4,26.107857
27,R5,31.019875
27,R6,33.3184
27,R7,24.7171
27,R8,15.773487
27,R9,17.372678
28,R1,15.429026
28,R10,17.406778
28,R11,22.541465
28,R2,15.429026
28,R3,18.502459
28,R4,20.044259
28,R5,23.519506
28,R6,24.915547
28,R7,19.084326
28,R8,11.52495
28,R9,13.681972
29,R1,11.320793
29,R10,11.245087
29,R11,19.36254
29,R2,11.320793
29,R3,13.580974
29,R4,14.712715
29,R5,17.471043
29,R6,17.921046
29,R7,14.178751
29,R8,9.226301
29,R9,11.24347
30,R1,0.270264
30,R10,0.154042
30,R11,0.0
30,R2,0.270264
30,R3,0.321933
30,R4,0.34876
30,R5,0.454151
30,R6,0.368629
30,R7,0.273938
30,R8,0.126822
30,R9,0.355889
31,R1,0.011947
31,R10,0.0
31,R11,0.0
31,R2,0.011947
31,R3,0.014642
31,R4,0.015902
31,R5,0.020643
31,R6,0.028356
31,R7,0.009901
31,R8,0.0
