supply_level,resource_id,state_code,district_code,time,allocated_quantity
district,R10,11,269,1,0.00052580801
district,R10,14,246,0,0.00087560394
district,R10,15,246,1,0.00094187158
district,R10,15,269,0,0.0019883491
district,R10,15,34,1,0.00065568023
district,R10,15,495,3,0.0015171453
district,R10,16,247,4,0.002572268
district,R10,17,34,3,0.00042764424
district,R10,17,639,2,0.00034283374
district,R10,17,639,3,0.00028354058
district,R10,18,269,4,0.0017437677
district,R10,18,271,2,0.0024240327
district,R10,1,247,1,0.00083825755
district,R10,21,271,0,0.00064058794
district,R10,21,271,3,0.0011000946
district,R10,21,291,3,0.0060852116
district,R10,21,639,4,0.00075115106
district,R10,22,639,0,0.00022366036
district,R10,25,247,0,0.0013612776
district,R10,25,271,1,0.0020929213
district,R10,26,247,3,0.0011049732
district,R10,27,34,2,0.00050303083
district,R10,28,269,2,0.0018777807
district,R10,28,291,1,0.0031844752
district,R10,29,247,2,0.0029858061
district,R10,29,291,0,0.0056751747
district,R10,2,246,3,0.0014133718
district,R10,2,34,0,0.00058303769
district,R10,2,495,4,0.002172036
district,R10,30,271,4,0.002102231
district,R10,30,34,4,0.00055248305
district,R10,31,246,4,0.00097971579
district,R10,32,291,2,0.0091645356
district,R10,32,639,1,0.00034570105
district,R10,4,495,0,0.0009927508
district,R10,7,269,3,0.0019439488
district,R10,7,291,4,0.0061567689
district,R10,8,495,2,0.0011012018
district,R10,9,246,2,0.0012096884
district,R11,10,117,1,0.046862454
district,R11,10,127,0,0.049783701
district,R11,10,154,3,0.36963675
district,R11,10,228,0,0.015000476
district,R11,10,350,1,0.093327824
district,R11,10,423,3,0.10569982
district,R11,10,426,1,0.046512839
district,R11,10,428,3,0.052253596
district,R11,10,434,1,0.082669917
district,R11,10,480,1,0.054371087
district,R11,10,502,4,0.049901399
district,R11,10,87,1,0.012123817
district,R11,11,134,1,0.26673889
district,R11,11,179,0,0.27194649
district,R11,11,229,2,0.34999937
district,R11,11,333,0,0.42466443
district,R11,11,452,4,0.040404059
district,R11,11,533,2,0.19666962
district,R11,11,541,3,0.060720903
district,R11,11,542,2,0.10057609
district,R11,11,594,2,0.2673405
district,R11,11,70,4,0.066136717
district,R11,11,8,3,0.060289934
district,R11,12,111,0,0.17700525
district,R11,12,127,1,0.091375346
district,R11,12,153,3,0.24770665
district,R11,12,213,2,0.14147029
district,R11,12,220,2,0.23834808
district,R11,12,268,4,0.00030327822
district,R11,12,353,0,0.0089461045
district,R11,12,357,2,0.15043514
district,R11,12,366,2,0.027500373
district,R11,12,451,1,0.15973123
district,R11,12,469,2,0.2144594
district,R11,12,509,3,0.10033607
district,R11,12,526,0,0.25699429
district,R11,12,529,2,0.021459441
district,R11,12,594,4,0.24639135
district,R11,12,92,1,0.14159148
district,R11,13,102,4,0.13521821
district,R11,13,107,3,0.077101209
district,R11,13,116,1,0.046291128
district,R11,13,180,2,0.30782995
district,R11,13,216,2,0.48366735
district,R11,13,353,2,0.044854959
district,R11,13,420,4,0.11381884
district,R11,13,448,3,0.029975042
district,R11,13,475,1,0.10769709
district,R11,13,529,4,0.023597724
district,R11,13,531,4,0.26094886
district,R11,14,190,3,0.32994689
district,R11,14,223,2,0.050519255
district,R11,14,231,0,0.040361364
district,R11,14,439,3,0.27454395
district,R11,14,484,4,0.10788524
district,R11,14,535,2,0.22748905
district,R11,14,540,1,0.26641775
district,R11,14,545,3,0.2887585
district,R11,14,596,1,0.031370822
district,R11,15,129,2,0.022734287
district,R11,15,157,2,0.20937492
district,R11,15,158,3,0.30490047
district,R11,15,167,3,0.096095464
district,R11,15,234,1,0.1365138
district,R11,15,236,1,0.34255149
district,R11,15,30,3,0.0075144673
district,R11,15,437,1,0.079241961
district,R11,15,440,2,0.082254897
district,R11,15,546,3,0.25632731
district,R11,15,547,0,0.28101354
district,R11,15,548,2,0.45297218
district,R11,15,593,1,0.071264427
district,R11,15,601,2,0.263546
district,R11,15,77,0,0.038209529
district,R11,15,97,1,0.053454636
district,R11,16,115,4,0.14955117
district,R11,16,179,3,0.30172946
district,R11,16,429,4,0.17680764
district,R11,16,468,4,0.14389541
district,R11,16,525,4,0.070245959
district,R11,16,79,0,0.081381782
district,R11,16,92,3,0.1374463
district,R11,17,118,0,0.044705032
district,R11,17,128,1,0.06800854
district,R11,17,140,0,0.43777109
district,R11,17,167,0,0.055604718
district,R11,17,185,0,0.17597586
district,R11,17,234,2,0.24229459
district,R11,17,268,2,0.00068398358
district,R11,17,343,3,0.75192645
district,R11,17,426,0,0.019723957
district,R11,17,474,2,0.95921738
district,R11,17,506,4,0.050452284
district,R11,17,550,1,0.13298035
district,R11,17,552,1,0.20212844
district,R11,17,70,2,0.057071696
district,R11,17,88,1,0.13032718
district,R11,18,110,4,0.76988823
district,R11,18,120,3,0.10066443
district,R11,18,122,2,0.14966683
district,R11,18,160,4,0.078922789
district,R11,18,194,1,0.1787151
district,R11,18,268,3,0.00054399284
district,R11,18,350,0,0.034709628
district,R11,18,436,4,0.081654519
district,R11,18,439,1,0.23145715
district,R11,18,468,2,0.019421486
district,R11,18,498,3,0.14693495
district,R11,18,519,1,0.092408951
district,R11,18,88,4,0.090685173
district,R11,18,96,2,0.19646934
district,R11,19,123,4,0.062459318
district,R11,19,140,2,0.53824474
district,R11,19,178,0,0.19375028
district,R11,19,216,1,0.41633265
district,R11,19,220,0,0.22903028
district,R11,19,231,1,0.25166148
district,R11,19,294,1,0.0076620297
district,R11,19,354,1,0.17543065
district,R11,19,364,3,0.23930417
district,R11,19,367,1,0.015969012
district,R11,19,419,2,0.09738822
district,R11,19,428,1,0.026817648
district,R11,19,506,3,0.041509427
district,R11,19,522,1,0.1757396
district,R11,19,553,1,0.19010565
district,R11,19,591,4,0.21648273
district,R11,19,80,1,0.054223349
district,R11,1,112,2,0.26227557
district,R11,1,125,3,0.073081442
district,R11,1,182,4,0.26621783
district,R11,1,195,4,0.41332369
district,R11,1,466,0,0.052293274
district,R11,1,518,3,0.37246323
district,R11,1,523,0,0.16303701
district,R11,1,536,3,0.23104692
district,R11,1,537,0,0.24262104
district,R11,1,544,4,0.4403944
district,R11,1,554,1,0.15424255
district,R11,1,84,0,0.036352222
district,R11,20,213,1,0.095335417
district,R11,20,329,2,0.18259069
district,R11,20,334,4,0.20788914
district,R11,20,348,2,0.034009581
district,R11,20,366,4,0.062157876
district,R11,20,436,0,0.063476378
district,R11,20,468,3,0.1366831
district,R11,20,511,2,0.28982741
district,R11,20,520,0,0.10919334
district,R11,20,536,2,0.36908658
district,R11,20,547,2,0.25313952
district,R11,20,596,0,0.035187177
district,R11,20,86,0,0.072088676
district,R11,21,133,4,0.56675845
district,R11,21,199,0,0.03692879
district,R11,21,221,1,0.28955015
district,R11,21,236,2,0.24361407
district,R11,21,342,3,0.011456461
district,R11,21,508,3,0.040930874
district,R11,21,525,1,0.025273737
district,R11,21,526,4,0.57319574
district,R11,21,539,4,0.17306545
district,R11,21,77,3,0.062305075
district,R11,22,101,4,0.043264402
district,R11,22,203,3,0.18220706
district,R11,22,221,4,0.010449847
district,R11,22,226,1,0.052623053
district,R11,22,346,1,0.066626921
district,R11,22,357,0,0.11699099
district,R11,22,473,3,0.086515891
district,R11,22,519,4,0.24217965
district,R11,22,523,1,0.15897257
district,R11,22,591,3,0.083517266
district,R11,23,102,1,0.08983812
district,R11,23,119,3,0.24566296
district,R11,23,133,2,0.33324155
district,R11,23,198,4,0.1196302
district,R11,23,219,2,0.39231308
district,R11,23,228,3,0.041200523
district,R11,23,230,1,0.53003783
district,R11,23,332,0,0.3
district,R11,23,336,1,0.13284354
district,R11,23,420,2,0.1752157
district,R11,23,437,4,0.079116682
district,R11,23,451,4,0.20570057
district,R11,23,453,2,0.018563983
district,R11,23,498,4,0.089163795
district,R11,23,505,2,0.3
district,R11,23,506,1,0.043898919
district,R11,23,546,2,0.18385946
district,R11,23,592,1,0.13870077
district,R11,24,103,2,0.14765546
district,R11,24,126,3,0.043275392
district,R11,24,135,2,0.060265736
district,R11,24,135,4,0.53973426
district,R11,24,154,4,0.20406606
district,R11,24,184,4,0.24327438
district,R11,24,191,1,0.4162805
district,R11,24,420,1,0.077098218
district,R11,24,440,4,0.10189658
district,R11,24,442,3,0.047888133
district,R11,24,463,0,0.069013248
district,R11,24,499,1,0.35804319
district,R11,24,536,4,0.35706464
district,R11,25,121,2,0.044583289
district,R11,25,128,2,0.073331121
district,R11,25,160,0,0.11667877
district,R11,25,182,1,0.24534435
district,R11,25,193,0,0.059649656
district,R11,25,197,3,0.45901175
district,R11,25,217,3,0.15756187
district,R11,25,232,1,0.11120588
district,R11,25,236,0,0.61383444
district,R11,25,238,4,0.09407834
district,R11,25,348,1,0.029418762
district,R11,25,436,1,0.036606743
district,R11,25,446,4,0.073668229
district,R11,25,467,3,0.031873562
district,R11,25,592,3,0.46936777
district,R11,26,119,0,0.13408903
district,R11,26,136,1,0.11464698
district,R11,26,165,4,0.13639834
district,R11,26,173,4,0.19709149
district,R11,26,30,1,0.0094924052
district,R11,26,329,0,0.11663547
district,R11,26,423,0,0.074331492
district,R11,26,430,0,0.12254287
district,R11,26,437,3,0.10271234
district,R11,26,438,1,0.087627704
district,R11,26,461,0,0.019427188
district,R11,26,529,3,0.014368375
district,R11,26,85,0,0.012235523
district,R11,27,121,1,0.036751389
district,R11,27,140,3,0.41623203
district,R11,27,215,3,0.29082921
district,R11,27,228,2,0.017259325
district,R11,27,238,2,0.13134847
district,R11,27,329,3,0.26076182
district,R11,27,361,3,0.06618386
district,R11,27,448,0,0.01010009
district,R11,27,520,2,0.23978442
district,R11,27,527,2,0.18705202
district,R11,27,537,1,0.39845789
district,R11,27,549,1,0.27358863
district,R11,27,90,0,0.079224746
district,R11,28,101,2,0.12323874
district,R11,28,109,3,0.046379546
district,R11,28,126,0,0.051233869
district,R11,28,131,2,0.036898711
district,R11,28,145,0,0.12180893
district,R11,28,156,4,0.22838377
district,R11,28,206,0,0.27653103
district,R11,28,223,1,0.11345495
district,R11,28,224,4,0.1672019
district,R11,28,268,1,0.0003748116
district,R11,28,294,2,0.017262042
district,R11,28,333,4,0.81043743
district,R11,28,354,4,0.12456935
district,R11,28,360,4,0.12749044
district,R11,28,361,0,0.035365267
district,R11,28,452,1,0.034088774
district,R11,28,455,3,0.18920892
district,R11,28,469,1,0.24067592
district,R11,28,480,2,0.08829421
district,R11,28,540,4,0.033582255
district,R11,28,79,4,0.06549496
district,R11,29,100,4,0.05185314
district,R11,29,116,2,0.097365054
district,R11,29,139,0,0.055841556
district,R11,29,147,0,0.12920991
district,R11,29,150,3,0.3
district,R11,29,184,0,0.24660373
district,R11,29,204,4,0.53738276
district,R11,29,211,0,0.13033171
district,R11,29,229,4,0.27158007
district,R11,29,333,3,0.46447803
district,R11,29,341,1,0.53174998
district,R11,29,342,1,0.23527377
district,R11,29,360,1,0.054414862
district,R11,29,362,1,0.070101015
district,R11,29,367,4,0.020731243
district,R11,29,456,1,0.056443529
district,R11,29,480,4,0.081210162
district,R11,29,500,1,0.088939377
district,R11,29,521,3,0.74516739
district,R11,29,535,3,0.1402584
district,R11,29,595,2,0.18158878
district,R11,29,79,2,0.094319243
district,R11,29,99,1,0.12240033
district,R11,2,102,2,0.12857234
district,R11,2,125,2,0.097997905
district,R11,2,138,3,0.43417062
district,R11,2,196,1,0.20262211
district,R11,2,211,1,0.23192309
district,R11,2,215,1,0.35097982
district,R11,2,337,0,0.83091113
district,R11,2,435,0,0.11204702
district,R11,2,479,4,0.16294114
district,R11,2,504,3,0.06894586
district,R11,2,550,0,0.13707484
district,R11,2,88,2,0.06870431
district,R11,30,140,4,0.7022009
district,R11,30,177,1,0.15299835
district,R11,30,192,3,0.21695422
district,R11,30,200,3,0.073268222
district,R11,30,204,3,0.36261724
district,R11,30,213,0,0.12514789
district,R11,30,219,0,0.20768692
district,R11,30,238,0,0.071399883
district,R11,30,335,2,0.84113001
district,R11,30,346,0,0.044208353
district,R11,30,418,4,0.012219162
district,R11,30,443,0,0.065099803
district,R11,30,446,2,0.065907154
district,R11,30,474,4,0.59795885
district,R11,30,492,3,0.3
district,R11,30,530,4,0.26189383
district,R11,30,80,4,0.1234763
district,R11,30,86,2,0.061656886
district,R11,31,152,4,0.17662785
district,R11,31,159,3,0.097911656
district,R11,31,211,4,0.20271743
district,R11,31,212,0,0.20694485
district,R11,31,213,3,0.17248814
district,R11,31,239,4,0.039564705
district,R11,31,358,3,0.043119496
district,R11,31,484,3,0.13030671
district,R11,31,504,2,0.047773945
district,R11,31,510,1,0.11865082
district,R11,31,521,1,1.0704349
district,R11,31,546,1,0.11906806
district,R11,31,76,1,0.049116904
district,R11,31,80,3,0.11752985
district,R11,32,123,1,0.048958993
district,R11,32,145,3,0.26233429
district,R11,32,156,1,0.2169327
district,R11,32,228,1,0.031298292
district,R11,32,239,3,0.088976273
district,R11,32,340,1,0.18827287
district,R11,32,355,3,0.15193319
district,R11,32,367,3,0.021866363
district,R11,32,473,0,0.031030216
district,R11,32,482,4,0.12517131
district,R11,32,499,4,0.24195681
district,R11,32,511,1,0.0956554
district,R11,32,539,2,0.24735055
district,R11,32,597,2,0.052442735
district,R11,32,84,2,0.058740551
district,R11,32,87,2,0.078564383
district,R11,33,107,2,0.079107537
district,R11,33,115,2,0.20902873
district,R11,33,118,3,0.18811511
district,R11,33,157,0,0.39062508
district,R11,33,173,2,0.29006001
district,R11,33,183,0,0.25177248
district,R11,33,193,2,0.24303577
district,R11,33,208,2,0.082341996
district,R11,33,215,4,0.37760289
district,R11,33,224,0,0.1327981
district,R11,33,328,4,0.17398534
district,R11,33,348,4,0.02725632
district,R11,33,479,0,0.13705886
district,R11,33,502,2,0.076457703
district,R11,33,504,4,0.044976547
district,R11,33,532,1,0.1520864
district,R11,33,592,4,0.5258608
district,R11,33,97,2,0.1287451
district,R11,34,134,0,0.14634432
district,R11,34,153,2,0.3997319
district,R11,34,155,3,0.3
district,R11,34,158,2,0.29509953
district,R11,34,191,2,0.70432414
district,R11,34,191,4,0.65559454
district,R11,34,209,3,0.25518211
district,R11,34,294,0,0.010880525
district,R11,34,366,0,0.039430397
district,R11,34,497,0,0.057463703
district,R11,34,515,2,0.22297852
district,R11,34,517,2,0.66012141
district,R11,34,529,1,0.019812648
district,R11,34,532,0,0.12973348
district,R11,34,593,3,0.10083879
district,R11,35,105,3,0.15675763
district,R11,35,149,0,0.31726838
district,R11,35,175,2,0.6
district,R11,35,185,1,0.11794571
district,R11,35,189,2,0.18962746
district,R11,35,196,3,0.18687618
district,R11,35,202,2,0.095043429
district,R11,35,345,3,0.48569012
district,R11,35,353,1,0.0083511163
district,R11,35,361,1,0.042095698
district,R11,35,425,3,0.16002814
district,R11,35,510,4,0.18134918
district,R11,35,551,3,0.14830626
district,R11,3,106,3,0.075787489
district,R11,3,124,1,0.066070893
district,R11,3,330,1,0.16331906
district,R11,3,461,3,0.015124244
district,R11,3,517,4,0.56537211
district,R11,3,523,4,0.19012755
district,R11,3,525,3,0.097957455
district,R11,3,526,1,0.20544433
district,R11,3,526,2,0.46436564
district,R11,3,551,4,0.15169374
district,R11,3,593,4,0.12789678
district,R11,3,5,1,0.023602402
district,R11,3,98,2,0.2499365
district,R11,4,170,4,0.10238921
district,R11,4,197,0,0.29864827
district,R11,4,199,3,0.26307121
district,R11,4,239,1,0.073894252
district,R11,4,339,4,0.22033497
district,R11,4,476,2,0.3
district,R11,4,522,2,0.41532448
district,R11,4,529,0,0.01906784
district,R11,4,73,4,0.057090811
district,R11,4,8,1,0.058440095
district,R11,4,8,2,0.055037482
district,R11,5,161,0,0.076251012
district,R11,5,164,4,0.3
district,R11,5,189,3,0.41037254
district,R11,5,218,0,0.25105044
district,R11,5,21,4,0.041295128
district,R11,5,223,3,0.1360258
district,R11,5,331,4,0.10320714
district,R11,5,340,3,0.1665327
district,R11,5,453,0,0.011551039
district,R11,5,464,3,0.034461163
district,R11,5,467,0,0.01197852
district,R11,5,544,2,0.22351952
district,R11,6,112,4,0.31790668
district,R11,6,118,4,0.092899405
district,R11,6,144,1,0.059696896
district,R11,6,144,3,0.1472799
district,R11,6,206,2,0.023468966
district,R11,6,268,0,0.00047254061
district,R11,6,344,1,0.36705326
district,R11,6,362,3,0.064324757
district,R11,6,364,0,0.15615529
district,R11,6,364,4,0.20454054
district,R11,6,500,0,0.14284431
district,R11,6,509,2,0.15962927
district,R11,6,544,0,0.25193136
district,R11,6,548,0,0.14702782
district,R11,6,598,3,0.10750295
district,R11,6,85,4,0.036581366
district,R11,7,127,4,0.084998548
district,R11,7,152,2,0.28002768
district,R11,7,179,2,0.026324049
district,R11,7,184,1,0.109712
district,R11,7,185,4,0.006078434
district,R11,7,188,1,0.42162587
district,R11,7,294,4,0.012347527
district,R11,7,331,3,0.059414877
district,R11,7,341,4,0.36607665
district,R11,7,342,2,0.35326977
district,R11,7,343,2,0.85688464
district,R11,7,344,0,0.59034794
district,R11,7,440,3,0.11584853
district,R11,7,453,3,0.020411089
district,R11,7,469,4,0.2107475
district,R11,7,532,3,0.22420038
district,R11,7,601,0,0.22869839
district,R11,7,601,3,0.30088131
district,R11,7,77,2,0.049694476
district,R11,8,105,4,0.20449047
district,R11,8,124,2,0.10997342
